Date Saved,05/11/2024 11:48:02
Title,semspe 2700Kfluo_012_02ﾟ_3028K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],3028
⊿uv,-0.0056
Illuminance [lx],79.4

Peak Wavelength [nm],612
Tristimulus Value X,87.6154
Tristimulus Value Y,79.3886
Tristimulus Value Z,38.1253
CIE1931 x,0.4271
CIE1931 y,0.3870
CIE1931 z,0.1859
CIE1976 u',0.2516
CIE1976 v',0.5130
Dominant Wavelength [nm],585
Purity [%],44.35
CRI Ra,83.9
CRI R1,94.0
CRI R2,96.5
CRI R3,54.9
CRI R4,85.5
CRI R5,92.2
CRI R6,87.0
CRI R7,87.0
CRI R8,73.8
CRI R9,19.7
CRI R10,59.6
CRI R11,84.0
CRI R12,58.1
CRI R13,91.7
CRI R14,68.7
CRI R15,92.0

Spectral Data 380[nm],0.000001275741
Spectral Data 385[nm],0.000008278203
Spectral Data 390[nm],0.000026205631
Spectral Data 395[nm],0.000172214335
Spectral Data 400[nm],0.000515824649
Spectral Data 405[nm],0.000684463535
Spectral Data 410[nm],0.000433278154
Spectral Data 415[nm],0.000133692040
Spectral Data 420[nm],0.000062354506
Spectral Data 425[nm],0.000292885583
Spectral Data 430[nm],0.001063027768
Spectral Data 435[nm],0.001871081302
Spectral Data 440[nm],0.001521035563
Spectral Data 445[nm],0.000520805537
Spectral Data 450[nm],0.000087566987
Spectral Data 455[nm],0.000044941080
Spectral Data 460[nm],0.000036364258
Spectral Data 465[nm],0.000042342454
Spectral Data 470[nm],0.000067482542
Spectral Data 475[nm],0.000139974625
Spectral Data 480[nm],0.000409241882
Spectral Data 485[nm],0.000823375245
Spectral Data 490[nm],0.000949305249
Spectral Data 495[nm],0.000683906779
Spectral Data 500[nm],0.000362927123
Spectral Data 505[nm],0.000212916886
Spectral Data 510[nm],0.000085793145
Spectral Data 515[nm],0.000008867986
Spectral Data 520[nm],0.000003277956
Spectral Data 525[nm],0.000093821742
Spectral Data 530[nm],0.000337138481
Spectral Data 535[nm],0.001118755783
Spectral Data 540[nm],0.002607439412
Spectral Data 545[nm],0.003400640329
Spectral Data 550[nm],0.002559708664
Spectral Data 555[nm],0.001212315401
Spectral Data 560[nm],0.000426812010
Spectral Data 565[nm],0.000180785151
Spectral Data 570[nm],0.000227855300
Spectral Data 575[nm],0.000448675855
Spectral Data 580[nm],0.000685861334
Spectral Data 585[nm],0.000869793061
Spectral Data 590[nm],0.000990310684
Spectral Data 595[nm],0.001006892417
Spectral Data 600[nm],0.000998227857
Spectral Data 605[nm],0.002131737303
Spectral Data 610[nm],0.003910212312
Spectral Data 615[nm],0.003642991418
Spectral Data 620[nm],0.002169382758
Spectral Data 625[nm],0.001491659554
Spectral Data 630[nm],0.001011379063
Spectral Data 635[nm],0.000643025502
Spectral Data 640[nm],0.000423066958
Spectral Data 645[nm],0.000307586539
Spectral Data 650[nm],0.000257551466
Spectral Data 655[nm],0.000243981820
Spectral Data 660[nm],0.000231578291
Spectral Data 665[nm],0.000203867370
Spectral Data 670[nm],0.000173412802
Spectral Data 675[nm],0.000159494564
Spectral Data 680[nm],0.000167631588
Spectral Data 685[nm],0.000192158521
Spectral Data 690[nm],0.000228188102
Spectral Data 695[nm],0.000279433705
Spectral Data 700[nm],0.000450427848
Spectral Data 705[nm],0.000690337620
Spectral Data 710[nm],0.000713603746
Spectral Data 715[nm],0.000418596406
Spectral Data 720[nm],0.000177864320
Spectral Data 725[nm],0.000085676082
Spectral Data 730[nm],0.000046434096
Spectral Data 735[nm],0.000039288429
Spectral Data 740[nm],0.000048860697
Spectral Data 745[nm],0.000059779108
Spectral Data 750[nm],0.000056139892
