Date Saved,04/11/2024 17:20:12
Title,semspe 2700K _001_02ﾟ_2695K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],2695
⊿uv,0.0011
Illuminance [lx],1490

Peak Wavelength [nm],608
Tristimulus Value X,1658.4939
Tristimulus Value Y,1485.7753
Tristimulus Value Z,444.8102
CIE1931 x,0.4621
CIE1931 y,0.4140
CIE1931 z,0.1239
CIE1976 u',0.2624
CIE1976 v',0.5290
Dominant Wavelength [nm],584
Purity [%],62.97
CRI Ra,83.8
CRI R1,83.0
CRI R2,93.6
CRI R3,94.7
CRI R4,80.8
CRI R5,83.1
CRI R6,93.5
CRI R7,82.1
CRI R8,59.8
CRI R9,14.2
CRI R10,85.2
CRI R11,80.3
CRI R12,77.9
CRI R13,85.7
CRI R14,97.9
CRI R15,75.2

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000004218340
Spectral Data 390[nm],0.000026811702
Spectral Data 395[nm],0.000031186846
Spectral Data 400[nm],0.000010879359
Spectral Data 405[nm],0.000005627107
Spectral Data 410[nm],0.000069658818
Spectral Data 415[nm],0.000202189403
Spectral Data 420[nm],0.000417116476
Spectral Data 425[nm],0.000789116661
Spectral Data 430[nm],0.001374060404
Spectral Data 435[nm],0.002301353496
Spectral Data 440[nm],0.003690928686
Spectral Data 445[nm],0.005480488762
Spectral Data 450[nm],0.007374999113
Spectral Data 455[nm],0.008940071799
Spectral Data 460[nm],0.009774746373
Spectral Data 465[nm],0.009679456241
Spectral Data 470[nm],0.008909255266
Spectral Data 475[nm],0.007976558059
Spectral Data 480[nm],0.007269319613
Spectral Data 485[nm],0.006965801120
Spectral Data 490[nm],0.007139584515
Spectral Data 495[nm],0.007716765627
Spectral Data 500[nm],0.008558390662
Spectral Data 505[nm],0.009564431384
Spectral Data 510[nm],0.010624457151
Spectral Data 515[nm],0.011659278534
Spectral Data 520[nm],0.012629428878
Spectral Data 525[nm],0.013512260281
Spectral Data 530[nm],0.014318745583
Spectral Data 535[nm],0.015090527013
Spectral Data 540[nm],0.015869066119
Spectral Data 545[nm],0.016665903851
Spectral Data 550[nm],0.017526028678
Spectral Data 555[nm],0.018533876166
Spectral Data 560[nm],0.019707480446
Spectral Data 565[nm],0.021113218740
Spectral Data 570[nm],0.022772021592
Spectral Data 575[nm],0.024574549869
Spectral Data 580[nm],0.026438875124
Spectral Data 585[nm],0.028269138187
Spectral Data 590[nm],0.029831662774
Spectral Data 595[nm],0.030981473625
Spectral Data 600[nm],0.031888823956
Spectral Data 605[nm],0.032482702285
Spectral Data 610[nm],0.032550565898
Spectral Data 615[nm],0.032032560557
Spectral Data 620[nm],0.031201524660
Spectral Data 625[nm],0.030050383881
Spectral Data 630[nm],0.028473144397
Spectral Data 635[nm],0.026814920828
Spectral Data 640[nm],0.025097800419
Spectral Data 645[nm],0.023214673623
Spectral Data 650[nm],0.021355569363
Spectral Data 655[nm],0.019400943071
Spectral Data 660[nm],0.017477214336
Spectral Data 665[nm],0.015603516251
Spectral Data 670[nm],0.013837585226
Spectral Data 675[nm],0.012179709971
Spectral Data 680[nm],0.010682059452
Spectral Data 685[nm],0.009372351691
Spectral Data 690[nm],0.008196175098
Spectral Data 695[nm],0.007136500441
Spectral Data 700[nm],0.006222465076
Spectral Data 705[nm],0.005430795718
Spectral Data 710[nm],0.004720142111
Spectral Data 715[nm],0.004101134837
Spectral Data 720[nm],0.003538055113
Spectral Data 725[nm],0.003066473408
Spectral Data 730[nm],0.002684501233
Spectral Data 735[nm],0.002381078666
Spectral Data 740[nm],0.002162028104
Spectral Data 745[nm],0.001986890566
Spectral Data 750[nm],0.001834922819
Spectral Data 755[nm],0.001655080938
Spectral Data 760[nm],0.001438043546
Spectral Data 765[nm],0.001389353187
Spectral Data 770[nm],0.001298837014
Spectral Data 775[nm],0.001167477691
Spectral Data 780[nm],0.000951281749

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000001513148
Spectral Data 387[nm],0.000011700191
Spectral Data 388[nm],0.000019423280
Spectral Data 389[nm],0.000025277106
Spectral Data 390[nm],0.000029557292
Spectral Data 391[nm],0.000032489053
Spectral Data 392[nm],0.000034297595
Spectral Data 393[nm],0.000035162389
Spectral Data 394[nm],0.000035015466
Spectral Data 395[nm],0.000033705590
Spectral Data 396[nm],0.000031081458
Spectral Data 397[nm],0.000027035103
Spectral Data 398[nm],0.000021800261
Spectral Data 399[nm],0.000015772603
Spectral Data 400[nm],0.000009348776
Spectral Data 401[nm],0.000002957657
Spectral Data 402[nm],0.000000000000
Spectral Data 403[nm],0.000000000000
Spectral Data 404[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 406[nm],0.000001478324
Spectral Data 407[nm],0.000011932216
Spectral Data 408[nm],0.000026106864
Spectral Data 409[nm],0.000043831318
Spectral Data 410[nm],0.000064716092
Spectral Data 411[nm],0.000088109300
Spectral Data 412[nm],0.000113343529
Spectral Data 413[nm],0.000139759199
Spectral Data 414[nm],0.000167256512
Spectral Data 415[nm],0.000196659385
Spectral Data 416[nm],0.000228878082
Spectral Data 417[nm],0.000264822796
Spectral Data 418[nm],0.000305373193
Spectral Data 419[nm],0.000351338938
Spectral Data 420[nm],0.000403519924
Spectral Data 421[nm],0.000462716067
Spectral Data 422[nm],0.000529517944
Spectral Data 423[nm],0.000603837078
Spectral Data 424[nm],0.000685447594
Spectral Data 425[nm],0.000774123473
Spectral Data 426[nm],0.000869861396
Spectral Data 427[nm],0.000973692979
Spectral Data 428[nm],0.001086950302
Spectral Data 429[nm],0.001210965682
Spectral Data 430[nm],0.001347092562
Spectral Data 431[nm],0.001496827696
Spectral Data 432[nm],0.001661726856
Spectral Data 433[nm],0.001843346050
Spectral Data 434[nm],0.002043182496
Spectral Data 435[nm],0.002262147609
Spectral Data 436[nm],0.002500815550
Spectral Data 437[nm],0.002759757452
Spectral Data 438[nm],0.003039429663
Spectral Data 439[nm],0.003339242423
Spectral Data 440[nm],0.003657752648
Spectral Data 441[nm],0.003993462771
Spectral Data 442[nm],0.004344861954
Spectral Data 443[nm],0.004709925037
Spectral Data 444[nm],0.005086023360
Spectral Data 445[nm],0.005470498465
Spectral Data 446[nm],0.005860690493
Spectral Data 447[nm],0.006253357977
Spectral Data 448[nm],0.006644240115
Spectral Data 449[nm],0.007028996479
Spectral Data 450[nm],0.007403281517
Spectral Data 451[nm],0.007763110567
Spectral Data 452[nm],0.008105553687
Spectral Data 453[nm],0.008427800611
Spectral Data 454[nm],0.008727042936
Spectral Data 455[nm],0.009000325575
Spectral Data 456[nm],0.009244132787
Spectral Data 457[nm],0.009454813786
Spectral Data 458[nm],0.009628714994
Spectral Data 459[nm],0.009762678295
Spectral Data 460[nm],0.009856021032
Spectral Data 461[nm],0.009909048676
Spectral Data 462[nm],0.009922076948
Spectral Data 463[nm],0.009895632043
Spectral Data 464[nm],0.009832583368
Spectral Data 465[nm],0.009737077169
Spectral Data 466[nm],0.009613265283
Spectral Data 467[nm],0.009465320036
Spectral Data 468[nm],0.009297724813
Spectral Data 469[nm],0.009115218185
Spectral Data 470[nm],0.008922549896
Spectral Data 471[nm],0.008724457584
Spectral Data 472[nm],0.008525140584
Spectral Data 473[nm],0.008328135125
Spectral Data 474[nm],0.008136953227
Spectral Data 475[nm],0.007955093868
Spectral Data 476[nm],0.007785068825
Spectral Data 477[nm],0.007627667394
Spectral Data 478[nm],0.007483507972
Spectral Data 479[nm],0.007353202440
Spectral Data 480[nm],0.007237552665
Spectral Data 481[nm],0.007137941197
Spectral Data 482[nm],0.007055806462
Spectral Data 483[nm],0.006992587820
Spectral Data 484[nm],0.006949493662
Spectral Data 485[nm],0.006926616188
Spectral Data 486[nm],0.006923816632
Spectral Data 487[nm],0.006940957624
Spectral Data 488[nm],0.006977777462
Spectral Data 489[nm],0.007033429574
Spectral Data 490[nm],0.007106816862
Spectral Data 491[nm],0.007196838502
Spectral Data 492[nm],0.007302376907
Spectral Data 493[nm],0.007422025781
Spectral Data 494[nm],0.007554224227
Spectral Data 495[nm],0.007697414607
Spectral Data 496[nm],0.007850080729
Spectral Data 497[nm],0.008011401631
Spectral Data 498[nm],0.008181141689
Spectral Data 499[nm],0.008359077387
Spectral Data 500[nm],0.008544975892
Spectral Data 501[nm],0.008738183416
Spectral Data 502[nm],0.008937550709
Spectral Data 503[nm],0.009141894057
Spectral Data 504[nm],0.009350031614
Spectral Data 505[nm],0.009560897015
Spectral Data 506[nm],0.009773630649
Spectral Data 507[nm],0.009987393394
Spectral Data 508[nm],0.010201347992
Spectral Data 509[nm],0.010414778255
Spectral Data 510[nm],0.010627277195
Spectral Data 511[nm],0.010838492773
Spectral Data 512[nm],0.011048074812
Spectral Data 513[nm],0.011255700141
Spectral Data 514[nm],0.011461198330
Spectral Data 515[nm],0.011664430611
Spectral Data 516[nm],0.011865257286
Spectral Data 517[nm],0.012063506059
Spectral Data 518[nm],0.012258788571
Spectral Data 519[nm],0.012450633571
Spectral Data 520[nm],0.012638567947
Spectral Data 521[nm],0.012822174467
Spectral Data 522[nm],0.013001533225
Spectral Data 523[nm],0.013177012093
Spectral Data 524[nm],0.013348983601
Spectral Data 525[nm],0.013517812826
Spectral Data 526[nm],0.013683755882
Spectral Data 527[nm],0.013846971095
Spectral Data 528[nm],0.014007613994
Spectral Data 529[nm],0.014165844768
Spectral Data 530[nm],0.014321994968
Spectral Data 531[nm],0.014476604760
Spectral Data 532[nm],0.014630230144
Spectral Data 533[nm],0.014783425257
Spectral Data 534[nm],0.014936622232
Spectral Data 535[nm],0.015090031549
Spectral Data 536[nm],0.015243839473
Spectral Data 537[nm],0.015398230404
Spectral Data 538[nm],0.015553356148
