Date Saved,04/11/2024 17:28:24
Title,semspe 6500K_021_02ﾟ_5685K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],5685
⊿uv,0.0171
Illuminance [lx],42.2

Peak Wavelength [nm],454
Tristimulus Value X,37.1930
Tristimulus Value Y,42.2263
Tristimulus Value Z,34.0858
CIE1931 x,0.3277
CIE1931 y,0.3720
CIE1931 z,0.3003
CIE1976 u',0.1925
CIE1976 v',0.4917
Dominant Wavelength [nm],547
Purity [%],10.17
CRI Ra,78.4
CRI R1,74.4
CRI R2,81.2
CRI R3,86.5
CRI R4,77.3
CRI R5,74.2
CRI R6,74.9
CRI R7,90.5
CRI R8,68.3
CRI R9,-1.5
CRI R10,54.9
CRI R11,72.7
CRI R12,47.3
CRI R13,75.5
CRI R14,92.3
CRI R15,68.2

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000035644
Spectral Data 410[nm],0.000005180983
Spectral Data 415[nm],0.000024061506
Spectral Data 420[nm],0.000053213884
Spectral Data 425[nm],0.000100511119
Spectral Data 430[nm],0.000182255608
Spectral Data 435[nm],0.000309842610
Spectral Data 440[nm],0.000475650857
Spectral Data 445[nm],0.000645510852
Spectral Data 450[nm],0.000769813138
Spectral Data 455[nm],0.000807622971
Spectral Data 460[nm],0.000745500030
Spectral Data 465[nm],0.000614236167
Spectral Data 470[nm],0.000471324427
Spectral Data 475[nm],0.000363112107
Spectral Data 480[nm],0.000301499269
Spectral Data 485[nm],0.000275638246
Spectral Data 490[nm],0.000278108229
Spectral Data 495[nm],0.000301503052
Spectral Data 500[nm],0.000342483487
Spectral Data 505[nm],0.000400214398
Spectral Data 510[nm],0.000471488340
Spectral Data 515[nm],0.000551259494
Spectral Data 520[nm],0.000630692870
Spectral Data 525[nm],0.000697804615
Spectral Data 530[nm],0.000741874857
Spectral Data 535[nm],0.000761253701
Spectral Data 540[nm],0.000758816430
Spectral Data 545[nm],0.000738783856
Spectral Data 550[nm],0.000708004984
Spectral Data 555[nm],0.000675164163
Spectral Data 560[nm],0.000644100073
Spectral Data 565[nm],0.000616227626
Spectral Data 570[nm],0.000594489742
Spectral Data 575[nm],0.000578704930
Spectral Data 580[nm],0.000568254211
Spectral Data 585[nm],0.000560710032
Spectral Data 590[nm],0.000550934987
Spectral Data 595[nm],0.000536976324
Spectral Data 600[nm],0.000522975519
Spectral Data 605[nm],0.000509122969
Spectral Data 610[nm],0.000491405372
Spectral Data 615[nm],0.000468470040
