Date Saved,05/11/2024 14:17:27
Title,semspe plafondtp_020_02ﾟ_3996K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],3996
⊿uv,0.0017
Illuminance [lx],116

Peak Wavelength [nm],545
Tristimulus Value X,116.4683
Tristimulus Value Y,116.3083
Tristimulus Value Z,72.2268
CIE1931 x,0.3819
CIE1931 y,0.3813
CIE1931 z,0.2368
CIE1976 u',0.2242
CIE1976 v',0.5038
Dominant Wavelength [nm],578
Purity [%],29.04
CRI Ra,83.6
CRI R1,96.9
CRI R2,92.2
CRI R3,52.0
CRI R4,87.8
CRI R5,89.5
CRI R6,78.4
CRI R7,87.3
CRI R8,84.6
CRI R9,42.3
CRI R10,49.5
CRI R11,78.5
CRI R12,55.6
CRI R13,96.5
CRI R14,68.0
CRI R15,93.8

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000002780711
Spectral Data 390[nm],0.000063450061
Spectral Data 395[nm],0.000190860766
Spectral Data 400[nm],0.000320925610
Spectral Data 405[nm],0.000393838738
Spectral Data 410[nm],0.000379985751
Spectral Data 415[nm],0.000360454782
Spectral Data 420[nm],0.000382424158
Spectral Data 425[nm],0.000570038741
Spectral Data 430[nm],0.001427468262
Spectral Data 435[nm],0.002283572918
Spectral Data 440[nm],0.002019944834
Spectral Data 445[nm],0.001117393840
Spectral Data 450[nm],0.000714831345
Spectral Data 455[nm],0.000658736564
Spectral Data 460[nm],0.000615112134
Spectral Data 465[nm],0.000572073390
Spectral Data 470[nm],0.000541858142
Spectral Data 475[nm],0.000564521994
Spectral Data 480[nm],0.000828223885
Spectral Data 485[nm],0.001296252361
Spectral Data 490[nm],0.001441476750
Spectral Data 495[nm],0.001098236651
Spectral Data 500[nm],0.000673530682
Spectral Data 505[nm],0.000486337347
Spectral Data 510[nm],0.000306093978
Spectral Data 515[nm],0.000167032689
Spectral Data 520[nm],0.000136340983
Spectral Data 525[nm],0.000290665805
Spectral Data 530[nm],0.000666001346
Spectral Data 535[nm],0.001901443466
Spectral Data 540[nm],0.004200150259
Spectral Data 545[nm],0.005362151656
Spectral Data 550[nm],0.004036241211
Spectral Data 555[nm],0.001968235010
Spectral Data 560[nm],0.000763749413
Spectral Data 565[nm],0.000343355117
Spectral Data 570[nm],0.000350877526
Spectral Data 575[nm],0.000615844736
Spectral Data 580[nm],0.000918960199
Spectral Data 585[nm],0.001158145489
Spectral Data 590[nm],0.001298840740
Spectral Data 595[nm],0.001269740285
Spectral Data 600[nm],0.001154102036
Spectral Data 605[nm],0.002390291542
Spectral Data 610[nm],0.004379566759
Spectral Data 615[nm],0.004167630337
Spectral Data 620[nm],0.002641402418
Spectral Data 625[nm],0.001928073005
Spectral Data 630[nm],0.001323930104
Spectral Data 635[nm],0.000851710094
Spectral Data 640[nm],0.000575378537
Spectral Data 645[nm],0.000432455941
Spectral Data 650[nm],0.000376241020
Spectral Data 655[nm],0.000369991700
