Date Saved,04/11/2024 15:49:54
Title,semspe jour_008_02ﾟ_4905K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],4905
⊿uv,-0.0060
Illuminance [lx],280

Peak Wavelength [nm],624
Tristimulus Value X,284.3665
Tristimulus Value Y,279.8628
Tristimulus Value Z,256.5007
CIE1931 x,0.3465
CIE1931 y,0.3410
CIE1931 z,0.3125
CIE1976 u',0.2166
CIE1976 v',0.4796
Dominant Wavelength [nm],585
Purity [%],6.26
CRI Ra,91.6
CRI R1,88.8
CRI R2,95.0
CRI R3,94.9
CRI R4,88.9
CRI R5,90.4
CRI R6,94.6
CRI R7,94.7
CRI R8,85.0
CRI R9,62.5
CRI R10,91.8
CRI R11,87.7
CRI R12,92.5
CRI R13,90.1
CRI R14,96.2
CRI R15,85.2

Spectral Data 380[nm],0.000614841178
Spectral Data 385[nm],0.000859376916
Spectral Data 390[nm],0.001210618997
Spectral Data 395[nm],0.001631548163
Spectral Data 400[nm],0.002124383347
Spectral Data 405[nm],0.002618307713
Spectral Data 410[nm],0.002993908944
Spectral Data 415[nm],0.003182587214
Spectral Data 420[nm],0.003235693788
Spectral Data 425[nm],0.003234263742
Spectral Data 430[nm],0.003238635371
Spectral Data 435[nm],0.003300476121
Spectral Data 440[nm],0.003441273700
Spectral Data 445[nm],0.003606931539
Spectral Data 450[nm],0.003722723806
Spectral Data 455[nm],0.003770272713
Spectral Data 460[nm],0.003756821621
Spectral Data 465[nm],0.003706054064
Spectral Data 470[nm],0.003638111986
Spectral Data 475[nm],0.003570390400
Spectral Data 480[nm],0.003509861184
Spectral Data 485[nm],0.003454903606
Spectral Data 490[nm],0.003420584835
Spectral Data 495[nm],0.003421679372
Spectral Data 500[nm],0.003458586521
Spectral Data 505[nm],0.003526257584
Spectral Data 510[nm],0.003616568400
Spectral Data 515[nm],0.003725686809
Spectral Data 520[nm],0.003834033385
Spectral Data 525[nm],0.003924553748
Spectral Data 530[nm],0.003992375452
Spectral Data 535[nm],0.004034305923
Spectral Data 540[nm],0.004033419304
Spectral Data 545[nm],0.003993696067
Spectral Data 550[nm],0.003922180273
Spectral Data 555[nm],0.003832632676
Spectral Data 560[nm],0.003719165921
Spectral Data 565[nm],0.003600285854
Spectral Data 570[nm],0.003514509182
Spectral Data 575[nm],0.003468246199
Spectral Data 580[nm],0.003466786118
Spectral Data 585[nm],0.003519373480
Spectral Data 590[nm],0.003608605359
Spectral Data 595[nm],0.003733768361
Spectral Data 600[nm],0.003926330246
Spectral Data 605[nm],0.004165494815
Spectral Data 610[nm],0.004363706801
Spectral Data 615[nm],0.004453080241
Spectral Data 620[nm],0.004478221759
Spectral Data 625[nm],0.004484151956
Spectral Data 630[nm],0.004463400226
Spectral Data 635[nm],0.004442049656
Spectral Data 640[nm],0.004411546513
Spectral Data 645[nm],0.004351762123
Spectral Data 650[nm],0.004283991177
Spectral Data 655[nm],0.004221895244
Spectral Data 660[nm],0.004214876797
Spectral Data 665[nm],0.004229989368
Spectral Data 670[nm],0.004198892973
Spectral Data 675[nm],0.004057618324
Spectral Data 680[nm],0.003824405605
Spectral Data 685[nm],0.003556144191
Spectral Data 690[nm],0.003329995321
Spectral Data 695[nm],0.003180325497
Spectral Data 700[nm],0.003100763774
Spectral Data 705[nm],0.003023773665
Spectral Data 710[nm],0.002846346935
Spectral Data 715[nm],0.002599008614
Spectral Data 720[nm],0.002373268362
Spectral Data 725[nm],0.002279869979
Spectral Data 730[nm],0.002352191135
Spectral Data 735[nm],0.002523935167
Spectral Data 740[nm],0.002682229970
Spectral Data 745[nm],0.002696416574
Spectral Data 750[nm],0.002526063938
Spectral Data 755[nm],0.002248068806
Spectral Data 760[nm],0.001991796074
Spectral Data 765[nm],0.001885182457
Spectral Data 770[nm],0.001962789334
Spectral Data 775[nm],0.002104576211
Spectral Data 780[nm],0.002181872260

Spectral Data 380[nm],0.000560129527
Spectral Data 381[nm],0.000614200369
Spectral Data 382[nm],0.000670276699
Spectral Data 383[nm],0.000728612475
Spectral Data 384[nm],0.000789461192
Spectral Data 385[nm],0.000852968427
Spectral Data 386[nm],0.000918993959
Spectral Data 387[nm],0.000987350824
Spectral Data 388[nm],0.001057851943
Spectral Data 389[nm],0.001130403602
Spectral Data 390[nm],0.001205261797
Spectral Data 391[nm],0.001282765414
Spectral Data 392[nm],0.001363253221
Spectral Data 393[nm],0.001447036164
Spectral Data 394[nm],0.001534274081
Spectral Data 395[nm],0.001625076518
Spectral Data 396[nm],0.001719552558
Spectral Data 397[nm],0.001817722223
Spectral Data 398[nm],0.001918900525
Spectral Data 399[nm],0.002022068715
Spectral Data 400[nm],0.002126206178
Spectral Data 401[nm],0.002230295213
Spectral Data 402[nm],0.002333415439
Spectral Data 403[nm],0.002434706083
Spectral Data 404[nm],0.002533305436
Spectral Data 405[nm],0.002628349699
Spectral Data 406[nm],0.002718788106
Spectral Data 407[nm],0.002803408308
Spectral Data 408[nm],0.002880999818
Spectral Data 409[nm],0.002950372174
Spectral Data 410[nm],0.003011023160
Spectral Data 411[nm],0.003063274547
Spectral Data 412[nm],0.003107497469
Spectral Data 413[nm],0.003144064452
Spectral Data 414[nm],0.003173470031
Spectral Data 415[nm],0.003196410136
Spectral Data 416[nm],0.003213599324
Spectral Data 417[nm],0.003225752153
Spectral Data 418[nm],0.003233626019
Spectral Data 419[nm],0.003238075878
Spectral Data 420[nm],0.003239969956
Spectral Data 421[nm],0.003240176477
Spectral Data 422[nm],0.003239435842
Spectral Data 423[nm],0.003238070989
Spectral Data 424[nm],0.003236321267
Spectral Data 425[nm],0.003234425327
Spectral Data 426[nm],0.003232648363
Spectral Data 427[nm],0.003231376642
Spectral Data 428[nm],0.003231031355
Spectral Data 429[nm],0.003232034389
Spectral Data 430[nm],0.003234816948
Spectral Data 431[nm],0.003239879617
Spectral Data 432[nm],0.003247750690
Spectral Data 433[nm],0.003258958925
Spectral Data 434[nm],0.003273994429
Spectral Data 435[nm],0.003292964073
Spectral Data 436[nm],0.003315754235
Spectral Data 437[nm],0.003342249431
Spectral Data 438[nm],0.003372304840
Spectral Data 439[nm],0.003405305091
Spectral Data 440[nm],0.003440262284
Spectral Data 441[nm],0.003476180835
