Date Saved,05/11/2024 11:48:04
Title,semspe 2700Kfluo_016_02ﾟ_2517K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],2517
⊿uv,-0.0033
Illuminance [lx],80.2

Peak Wavelength [nm],612
Tristimulus Value X,93.3603
Tristimulus Value Y,80.2295
Tristimulus Value Z,25.3349
CIE1931 x,0.4693
CIE1931 y,0.4033
CIE1931 z,0.1274
CIE1976 u',0.2720
CIE1976 v',0.5260
Dominant Wavelength [nm],586
Purity [%],61.93
CRI Ra,84.1
CRI R1,94.5
CRI R2,97.3
CRI R3,57.1
CRI R4,87.6
CRI R5,92.7
CRI R6,90.7
CRI R7,87.1
CRI R8,65.4
CRI R9,3.5
CRI R10,62.7
CRI R11,86.7
CRI R12,56.4
CRI R13,90.3
CRI R14,69.4
CRI R15,93.1

Spectral Data 380[nm],0.000010779047
Spectral Data 385[nm],0.000024395378
Spectral Data 390[nm],0.000042485281
Spectral Data 395[nm],0.000156409937
Spectral Data 400[nm],0.000433862413
Spectral Data 405[nm],0.000572946272
Spectral Data 410[nm],0.000368764217
Spectral Data 415[nm],0.000113862865
Spectral Data 420[nm],0.000043660173
Spectral Data 425[nm],0.000199194503
Spectral Data 430[nm],0.000711295055
Spectral Data 435[nm],0.001244203770
Spectral Data 440[nm],0.001006754697
Spectral Data 445[nm],0.000328951312
Spectral Data 450[nm],0.000036313606
Spectral Data 455[nm],0.000014433022
Spectral Data 460[nm],0.000016785998
Spectral Data 465[nm],0.000027656575
Spectral Data 470[nm],0.000048475213
Spectral Data 475[nm],0.000096424068
Spectral Data 480[nm],0.000267665571
Spectral Data 485[nm],0.000532679376
Spectral Data 490[nm],0.000626077119
Spectral Data 495[nm],0.000460234151
Spectral Data 500[nm],0.000246472395
Spectral Data 505[nm],0.000155367190
Spectral Data 510[nm],0.000064682768
Spectral Data 515[nm],0.000006170646
Spectral Data 520[nm],0.000002979835
Spectral Data 525[nm],0.000085010455
Spectral Data 530[nm],0.000307940296
Spectral Data 535[nm],0.001028446713
Spectral Data 540[nm],0.002420038451
Spectral Data 545[nm],0.003183709923
Spectral Data 550[nm],0.002415584633
Spectral Data 555[nm],0.001145620481
Spectral Data 560[nm],0.000400928373
Spectral Data 565[nm],0.000168618280
Spectral Data 570[nm],0.000227134427
Spectral Data 575[nm],0.000457266520
Spectral Data 580[nm],0.000701961282
Spectral Data 585[nm],0.000897769409
