Date Saved,04/11/2024 17:28:23
Title,semspe 6500K_018_02ﾟ_3818K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],3818
⊿uv,0.0101
Illuminance [lx],105

Peak Wavelength [nm],587
Tristimulus Value X,101.4647
Tristimulus Value Y,104.6306
Tristimulus Value Z,49.1899
CIE1931 x,0.3975
CIE1931 y,0.4099
CIE1931 z,0.1927
CIE1976 u',0.2232
CIE1976 v',0.5178
Dominant Wavelength [nm],576
Purity [%],42.32
CRI Ra,74.8
CRI R1,70.9
CRI R2,81.2
CRI R3,89.1
CRI R4,72.1
CRI R5,69.3
CRI R6,72.6
CRI R7,86.4
CRI R8,56.7
CRI R9,-17.3
CRI R10,54.0
CRI R11,65.5
CRI R12,41.3
CRI R13,72.8
CRI R14,93.5
CRI R15,63.7

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000000477243
Spectral Data 415[nm],0.000014821518
Spectral Data 420[nm],0.000053879161
Spectral Data 425[nm],0.000120505880
Spectral Data 430[nm],0.000234126448
Spectral Data 435[nm],0.000412032008
Spectral Data 440[nm],0.000646435365
Spectral Data 445[nm],0.000891263888
Spectral Data 450[nm],0.001076860121
Spectral Data 455[nm],0.001144733164
Spectral Data 460[nm],0.001074567204
Spectral Data 465[nm],0.000904254965
Spectral Data 470[nm],0.000713103800
Spectral Data 475[nm],0.000566266652
Spectral Data 480[nm],0.000481925934
Spectral Data 485[nm],0.000448869832
Spectral Data 490[nm],0.000458923401
Spectral Data 495[nm],0.000500881753
Spectral Data 500[nm],0.000567362644
Spectral Data 505[nm],0.000657653087
Spectral Data 510[nm],0.000770947896
Spectral Data 515[nm],0.000906496251
Spectral Data 520[nm],0.001060465933
Spectral Data 525[nm],0.001218224294
Spectral Data 530[nm],0.001362783019
Spectral Data 535[nm],0.001482120133
Spectral Data 540[nm],0.001567887142
Spectral Data 545[nm],0.001617843751
Spectral Data 550[nm],0.001642444986
Spectral Data 555[nm],0.001658111927
Spectral Data 560[nm],0.001671512262
Spectral Data 565[nm],0.001689495053
Spectral Data 570[nm],0.001716723549
Spectral Data 575[nm],0.001745914808
Spectral Data 580[nm],0.001771279029
Spectral Data 585[nm],0.001787962159
Spectral Data 590[nm],0.001784644090
Spectral Data 595[nm],0.001756320009
Spectral Data 600[nm],0.001719532418
Spectral Data 605[nm],0.001677720225
Spectral Data 610[nm],0.001619249466
Spectral Data 615[nm],0.001541397884
Spectral Data 620[nm],0.001457615290
Spectral Data 625[nm],0.001370542683
Spectral Data 630[nm],0.001272061258
Spectral Data 635[nm],0.001175326295
Spectral Data 640[nm],0.001082446892
Spectral Data 645[nm],0.000987868523
Spectral Data 650[nm],0.000897715101
Spectral Data 655[nm],0.000807494624
Spectral Data 660[nm],0.000722436584
Spectral Data 665[nm],0.000641364546
Spectral Data 670[nm],0.000566674280
Spectral Data 675[nm],0.000498155423
Spectral Data 680[nm],0.000436286908
Spectral Data 685[nm],0.000383172563
Spectral Data 690[nm],0.000335973164
Spectral Data 695[nm],0.000293938618
Spectral Data 700[nm],0.000258040411
Spectral Data 705[nm],0.000227125245
Spectral Data 710[nm],0.000198820941
Spectral Data 715[nm],0.000172531247
Spectral Data 720[nm],0.000148456806
Spectral Data 725[nm],0.000128745261
Spectral Data 730[nm],0.000114761548
Spectral Data 735[nm],0.000104339015
Spectral Data 740[nm],0.000096900898
Spectral Data 745[nm],0.000089944944
Spectral Data 750[nm],0.000083469589
Spectral Data 755[nm],0.000076845223
Spectral Data 760[nm],0.000070371265
Spectral Data 765[nm],0.000064503663
Spectral Data 770[nm],0.000059372036
Spectral Data 775[nm],0.000052472264
Spectral Data 780[nm],0.000041344661

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000000000000
Spectral Data 393[nm],0.000000000000
Spectral Data 394[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 396[nm],0.000000000000
Spectral Data 397[nm],0.000000000000
Spectral Data 398[nm],0.000000000000
Spectral Data 399[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 401[nm],0.000000000000
