Wavelength,Coef
380.0,-498.988
381.0,-212.27000000000004
382.0,-54.98599999999999
383.0,68.298
384.0,-66.45599999999999
385.0,-16.48399999999999
386.0,121.13600000000001
387.0,243.60600000000005
388.0,-235.208
389.0,-233.978
390.0,136.70199999999997
391.0,140.796
392.0,-26.314
393.0,-259.37399999999997
394.0,-133.22
395.0,29.181666666666654
396.0,7.26800000000001
397.0,-22.628000000000007
398.0,98.20200000000001
399.0,-97.58399999999997
400.0,-173.77
401.0,8.091999999999985
402.0,85.502
403.0,-396.176
404.0,54.440000000000005
405.0,153.906
406.0,-143.05
407.0,-132.812
408.0,-42.7
409.0,140.798
410.0,-125.09666666666668
411.0,211.656
412.0,176.842
413.0,24.884000000000004
414.0,-70.55199999999999
415.0,341.15500000000003
416.0,-86.116
417.0,-218.82399999999998
418.0,195.68400000000003
419.0,256.304
420.0,-15.528333333333336
421.0,260.4
422.0,162.91400000000004
423.0,-5.0159999999999965
424.0,308.73333333333335
425.0,135.882
426.0,111.71599999999998
427.0,104.75399999999999
428.0,523.4266666666666
429.0,309.958
430.0,404.986
431.0,499.604
432.0,471.545
433.0,343.546
434.0,646.2360000000001
435.0,654.838
436.0,686.9216666666666
437.0,1014.4639999999999
438.0,1051.734
439.0,895.475
440.0,1296.67
441.0,1479.35
442.0,1271.69
443.0,1860.7499999999998
444.0,1834.878
445.0,1845.118
446.0,2014.0066666666664
447.0,2380.046
448.0,2208.428
449.0,2017.5559999999998
450.0,2340.316666666666
451.0,2182.626
452.0,1914.748
453.0,2019.194
454.0,1923.5549999999996
455.0,1589.122
456.0,1822.5899999999997
457.0,1645.715
458.0,1318.3799999999999
459.0,1357.7
460.0,1484.674
461.0,1048.39
462.0,1405.216
463.0,1148.8079999999998
464.0,970.6379999999999
465.0,938.14
466.0,1016.1
467.0,1031.6640000000002
468.0,589.7120000000001
469.0,940.1883333333334
470.0,699.484
471.0,721.1919999999999
472.0,725.698
473.0,867.8279999999999
474.0,618.3166666666667
475.0,554.896
476.0,794.51
477.0,586.844
478.0,626.1640000000001
479.0,828.2333333333335
480.0,722.83
481.0,483.62600000000003
482.0,1014.052
483.0,1115.22
484.0,458.642
485.0,750.7533333333334
486.0,898.1360000000001
487.0,681.052
488.0,554.488
489.0,1125.8700000000001
490.0,933.36
491.0,889.942
492.0,876.0200000000001
493.0,1257.352
494.0,1116.45
495.0,941.8966666666666
496.0,1153.3139999999999
497.0,1365.892
498.0,1178.298
499.0,1227.4479999999999
500.0,1296.6719999999998
501.0,1595.266
502.0,1234.824
503.0,1251.206
504.0,1501.8780000000002
505.0,1640.3200000000002
506.0,1239.74
507.0,1419.96
508.0,1225.404
509.0,1369.1699999999998
510.0,1236.462
511.0,1412.588
512.0,1614.8225
513.0,1741.4920000000002
514.0,1682.1019999999996
515.0,1195.094
516.0,1429.3799999999999
517.0,1548.1619999999998
518.0,1573.964
519.0,1354.422
520.0,1548.9819999999997
521.0,1389.5475000000001
522.0,1573.556
523.0,1689.0639999999999
524.0,1327.392
525.0,1343.774
526.0,1464.3
527.0,1723.8780000000002
528.0,1635.812
529.0,1388.0120000000002
530.0,1781.2224999999999
531.0,1736.986
532.0,1899.184
533.0,1713.6380000000001
534.0,1753.06
535.0,1716.914
536.0,1773.03
537.0,1799.1425
538.0,2057.286
539.0,2032.3
540.0,1645.5425
541.0,1937.6860000000001
542.0,1777.534
543.0,2019.3
544.0,1888.944
545.0,1973.73
546.0,2322.294
547.0,1971.6799999999998
548.0,1971.682
549.0,2147.3959999999997
550.0,2329.0525
551.0,2305.09
552.0,2196.96
553.0,2317.38
554.0,2145.76
555.0,2143.302
556.0,2267.6125
557.0,2399.1975
558.0,2263.3100000000004
559.0,2248.6675
560.0,2802.336
561.0,2244.06
562.0,2476.3
563.0,2517.4674999999997
564.0,2794.965
565.0,2448.04
566.0,2788.82
567.0,3110.3525
568.0,2819.5420000000004
569.0,3272.6525
570.0,3303.3749999999995
571.0,3577.29
572.0,3381.1975
573.0,3793.8599999999997
574.0,3865.03
575.0,4137.611999999999
576.0,4074.4325000000003
577.0,4286.3975
578.0,4465.595
579.0,4815.2875
580.0,4996.942000000001
581.0,5241.265
582.0,5427.1175
583.0,5473.71
584.0,6020.515
585.0,6417.3099999999995
586.0,6484.994000000001
587.0,6927.255
588.0,6767.0
589.0,7274.385
590.0,7499.6625
591.0,7605.6425
592.0,8235.905
593.0,8237.9525
594.0,8293.7625
595.0,8664.4425
596.0,8914.807499999999
597.0,9303.41
598.0,9335.665
599.0,9306.48
600.0,9914.73
601.0,9941.3525
602.0,10371.9375
603.0,10520.9275
604.0,10629.470000000001
605.0,10961.240000000002
606.0,11033.43
607.0,11074.39
608.0,11368.787500000002
609.0,11844.4275
610.0,12207.426666666666
611.0,12237.125
612.0,12111.6875
613.0,12145.99
614.0,12471.105000000001
615.0,12437.824999999999
616.0,12732.393333333335
617.0,12610.37
618.0,12611.902499999998
619.0,12746.5575
620.0,12716.3475
621.0,12511.896666666667
622.0,12682.0475
623.0,13137.72
624.0,12880.1875
625.0,12425.88
626.0,12631.359999999999
627.0,12472.64
628.0,12890.766666666668
629.0,12524.865
630.0,12533.57
631.0,12568.553333333335
632.0,12409.1575
633.0,12095.3025
634.0,12133.703333333333
635.0,12161.8625
636.0,12019.5275
637.0,11827.19
638.0,12099.9125
639.0,11554.126666666669
640.0,11510.0975
641.0,11607.8875
642.0,11847.67
643.0,11264.3375
644.0,11217.58
645.0,11016.022500000001
646.0,10805.250000000002
647.0,10804.057499999999
648.0,11143.17
649.0,10510.175
650.0,11001.176666666666
651.0,10523.487500000001
652.0,10178.576666666666
653.0,10063.210000000001
654.0,10016.103333333333
655.0,9890.1525
656.0,10045.456666666667
657.0,9755.326666666666
658.0,9659.7575
659.0,9043.32
660.0,9265.012499999999
661.0,9014.646666666667
662.0,8980.513333333334
663.0,8624.5075
664.0,9120.456666666667
665.0,8490.365
666.0,8053.466666666667
