Date Saved,17/12/2024 13:02:56
Title,led2700K_009_02ﾟ_2588K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],2588
⊿uv,0.0010
Illuminance [lx],2640

Peak Wavelength [nm],604
Tristimulus Value X,2989.6153
Tristimulus Value Y,2637.1862
Tristimulus Value Z,720.5831
CIE1931 x,0.4710
CIE1931 y,0.4155
CIE1931 z,0.1135
CIE1976 u',0.2675
CIE1976 v',0.5309
Dominant Wavelength [nm],585
Purity [%],66.10
CRI Ra,74.7
CRI R1,71.7
CRI R2,86.7
CRI R3,95.7
CRI R4,67.9
CRI R5,70.2
CRI R6,81.9
CRI R7,77.6
CRI R8,46.0
CRI R9,-16.8
CRI R10,68.7
CRI R11,61.7
CRI R12,57.4
CRI R13,74.7
CRI R14,98.3
CRI R15,64.4

Spectral Data 380[nm],0.000049994494
Spectral Data 385[nm],0.000175844572
Spectral Data 390[nm],0.000227487908
Spectral Data 395[nm],0.000172274813
Spectral Data 400[nm],0.000048508020
Spectral Data 405[nm],0.000000028888
Spectral Data 410[nm],0.000000000000
Spectral Data 415[nm],0.000001755439
Spectral Data 420[nm],0.000144186313
Spectral Data 425[nm],0.000672952039
Spectral Data 430[nm],0.001680025249
Spectral Data 435[nm],0.003501517931
Spectral Data 440[nm],0.006413197611
Spectral Data 445[nm],0.010199191049
Spectral Data 450[nm],0.014073330909
Spectral Data 455[nm],0.016975257546
Spectral Data 460[nm],0.018017645925
Spectral Data 465[nm],0.016805665568
Spectral Data 470[nm],0.014019194059
Spectral Data 475[nm],0.011002664454
Spectral Data 480[nm],0.008730612695
Spectral Data 485[nm],0.007490664255
Spectral Data 490[nm],0.007204766385
Spectral Data 495[nm],0.007729857229
Spectral Data 500[nm],0.008985471912
Spectral Data 505[nm],0.010847690515
Spectral Data 510[nm],0.013124216348
Spectral Data 515[nm],0.015605039895
Spectral Data 520[nm],0.018146339804
Spectral Data 525[nm],0.020638186485
Spectral Data 530[nm],0.023013582453
Spectral Data 535[nm],0.025305280462
Spectral Data 540[nm],0.027587035671
Spectral Data 545[nm],0.029844360426
Spectral Data 550[nm],0.032169267535
Spectral Data 555[nm],0.034727860242
Spectral Data 560[nm],0.037526667118
Spectral Data 565[nm],0.040669556707
Spectral Data 570[nm],0.044151891023
Spectral Data 575[nm],0.047689799219
Spectral Data 580[nm],0.051078677177
Spectral Data 585[nm],0.054135829210
Spectral Data 590[nm],0.056466415524
Spectral Data 595[nm],0.057853668928
Spectral Data 600[nm],0.058699645102
Spectral Data 605[nm],0.058943789452
Spectral Data 610[nm],0.058206189424
Spectral Data 615[nm],0.056446217000
Spectral Data 620[nm],0.054204504937
Spectral Data 625[nm],0.051463678479
Spectral Data 630[nm],0.048068612814
Spectral Data 635[nm],0.044606510550
Spectral Data 640[nm],0.041114006191
Spectral Data 645[nm],0.037433445454
Spectral Data 650[nm],0.033898964524
Spectral Data 655[nm],0.030324310064
Spectral Data 660[nm],0.026940276846
Spectral Data 665[nm],0.023743592203
Spectral Data 670[nm],0.020809197798
Spectral Data 675[nm],0.018136711791
Spectral Data 680[nm],0.015783404931
Spectral Data 685[nm],0.013781993650
Spectral Data 690[nm],0.011995743029
Spectral Data 695[nm],0.010406562127
Spectral Data 700[nm],0.009053084999
Spectral Data 705[nm],0.007876192220
Spectral Data 710[nm],0.006803086028
Spectral Data 715[nm],0.005870375317
Spectral Data 720[nm],0.005048066378
Spectral Data 725[nm],0.004355228506
Spectral Data 730[nm],0.003826772096
Spectral Data 735[nm],0.003447021591
Spectral Data 740[nm],0.003198224818
Spectral Data 745[nm],0.003002722049
Spectral Data 750[nm],0.002815639134
Spectral Data 755[nm],0.002526897937
Spectral Data 760[nm],0.002162488410
