Date Saved,17/12/2024 12:06:47
Title,led4000K_009_02ﾟ_3443K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],3443
⊿uv,0.0052
Illuminance [lx],1650

Peak Wavelength [nm],600
Tristimulus Value X,1677.4548
Tristimulus Value Y,1648.8840
Tristimulus Value Z,722.2456
CIE1931 x,0.4143
CIE1931 y,0.4073
CIE1931 z,0.1784
CIE1976 u',0.2348
CIE1976 v',0.5193
Dominant Wavelength [nm],579
Purity [%],46.61
CRI Ra,82.7
CRI R1,80.6
CRI R2,90.9
CRI R3,97.0
CRI R4,78.8
CRI R5,80.1
CRI R6,88.3
CRI R7,84.7
CRI R8,61.3
CRI R9,7.1
CRI R10,78.4
CRI R11,76.9
CRI R12,65.7
CRI R13,83.2
CRI R14,98.7
CRI R15,72.8

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 395[nm],0.000000000000
Spectral Data 400[nm],0.000000000000
Spectral Data 405[nm],0.000000000000
Spectral Data 410[nm],0.000000582212
Spectral Data 415[nm],0.000097858800
Spectral Data 420[nm],0.000507111603
Spectral Data 425[nm],0.001253013266
Spectral Data 430[nm],0.002429083455
Spectral Data 435[nm],0.004245832562
Spectral Data 440[nm],0.006843960378
Spectral Data 445[nm],0.010003545322
Spectral Data 450[nm],0.013079284690
Spectral Data 455[nm],0.015298552811
Spectral Data 460[nm],0.016079500318
Spectral Data 465[nm],0.015304269269
Spectral Data 470[nm],0.013615057804
Spectral Data 475[nm],0.011956656352
Spectral Data 480[nm],0.010885304771
Spectral Data 485[nm],0.010462668724
Spectral Data 490[nm],0.010642661713
Spectral Data 495[nm],0.011299801990
Spectral Data 500[nm],0.012242680416
Spectral Data 505[nm],0.013352465816
Spectral Data 510[nm],0.014534736983
Spectral Data 515[nm],0.015721486881
Spectral Data 520[nm],0.016874112189
Spectral Data 525[nm],0.017919620499
Spectral Data 530[nm],0.018855204806
Spectral Data 535[nm],0.019730629399
Spectral Data 540[nm],0.020561689511
Spectral Data 545[nm],0.021336548030
Spectral Data 550[nm],0.022108251229
Spectral Data 555[nm],0.022976504639
Spectral Data 560[nm],0.023932879791
Spectral Data 565[nm],0.025007747114
Spectral Data 570[nm],0.026188200340
Spectral Data 575[nm],0.027363250032
Spectral Data 580[nm],0.028455048800
Spectral Data 585[nm],0.029384139925
Spectral Data 590[nm],0.029976930469
Spectral Data 595[nm],0.030169082806
Spectral Data 600[nm],0.030206007883
Spectral Data 605[nm],0.030048817396
Spectral Data 610[nm],0.029473401606
Spectral Data 615[nm],0.028440522030
Spectral Data 620[nm],0.027191877365
Spectral Data 625[nm],0.025757579133
Spectral Data 630[nm],0.024056654423
Spectral Data 635[nm],0.022355791181
Spectral Data 640[nm],0.020687624812
Spectral Data 645[nm],0.018938370049
Spectral Data 650[nm],0.017250958830
Spectral Data 655[nm],0.015536118299
Spectral Data 660[nm],0.013902612962
Spectral Data 665[nm],0.012343756855
Spectral Data 670[nm],0.010896044783
Spectral Data 675[nm],0.009542286396
Spectral Data 680[nm],0.008331903256
Spectral Data 685[nm],0.007282818668
Spectral Data 690[nm],0.006348140538
Spectral Data 695[nm],0.005515115801
Spectral Data 700[nm],0.004806424957
Spectral Data 705[nm],0.004206168465
Spectral Data 710[nm],0.003654523985
Spectral Data 715[nm],0.003170945682
Spectral Data 720[nm],0.002728379564
Spectral Data 725[nm],0.002342911437
Spectral Data 730[nm],0.002074233489
Spectral Data 735[nm],0.001880452619
Spectral Data 740[nm],0.001735939994
Spectral Data 745[nm],0.001610132749
Spectral Data 750[nm],0.001476759790
Spectral Data 755[nm],0.001315689180
Spectral Data 760[nm],0.001157025690
Spectral Data 765[nm],0.001146484516
Spectral Data 770[nm],0.001026919344
Spectral Data 775[nm],0.000932247436
Spectral Data 780[nm],0.000774023356

