Wavelength,Coef
380.0,-428.912
381.0,-131.958
382.0,10.579999999999995
383.0,142.88000000000002
384.0,10.988000000000033
385.0,35.568000000000026
386.0,189.572
387.0,301.39
388.0,-187.66199999999998
389.0,-174.96599999999998
390.0,156.80599999999998
391.0,181.79000000000002
392.0,31.882000000000016
393.0,-193.39600000000002
394.0,-59.86999999999999
395.0,86.355
396.0,93.72800000000004
397.0,60.552
398.0,140.01
399.0,-30.380000000000006
400.0,-98.37
401.0,81.85
402.0,106.42399999999998
403.0,-319.554
404.0,124.585
405.0,191.624
406.0,19.181999999999995
407.0,-14.404000000000007
408.0,67.92400000000002
409.0,293.61
410.0,20.48
411.0,389.454
412.0,340.716
413.0,238.31400000000002
414.0,124.85600000000002
415.0,550.9033333333333
416.0,183.42999999999998
417.0,50.724
418.0,556.1600000000001
419.0,572.542
420.0,304.80333333333334
421.0,649.548
422.0,674.534
423.0,471.37399999999997
424.0,825.3316666666666
425.0,722.864
426.0,776.9300000000001
427.0,791.676
428.0,1232.878333333333
429.0,1167.684
430.0,1408.114
431.0,1546.56
432.0,1589.5650000000003
433.0,1606.766
434.0,2104.424
435.0,2210.5099999999998
436.0,2391.345
437.0,2953.1
438.0,3205.8219999999997
439.0,3271.9716666666664
440.0,3827.1760000000004
441.0,4337.12
442.0,4418.63
443.0,5406.636666666666
444.0,5665.84
445.0,6102.06
446.0,6675.695
447.0,7452.49
448.0,7410.712000000001
449.0,7399.652
450.0,8049.540000000001
451.0,8034.932000000001
452.0,7839.146000000001
453.0,8121.767999999999
454.0,8075.485
455.0,7744.12
456.0,7996.43
457.0,7876.828333333334
458.0,7642.1320000000005
459.0,7779.3460000000005
460.0,7862.494000000001
461.0,7625.611666666668
462.0,8085.722
463.0,7871.914
464.0,7714.220000000001
465.0,7888.435
466.0,7990.695999999999
467.0,8138.15
468.0,7808.838000000001
469.0,8354.686666666666
470.0,8188.532000000001
471.0,8461.318
472.0,8657.516
473.0,8998.296000000002
474.0,9024.031666666668
475.0,9193.262
476.0,9790.042000000001
477.0,9950.599999999999
478.0,10258.206000000002
479.0,10917.721666666666
480.0,11156.854
481.0,11348.546
482.0,12211.558
483.0,12795.232
484.0,12680.956
485.0,13383.816666666666
486.0,14062.106
487.0,14221.028
488.0,14656.836000000001
489.0,15568.59
490.0,15968.351999999999
491.0,16235.818
492.0,16789.998
493.0,17701.344000000005
494.0,17957.340000000004
495.0,18198.933333333334
496.0,18987.469999999998
497.0,19374.536
498.0,19798.054
499.0,20290.796
500.0,20741.348
501.0,21408.988
502.0,21519.167999999998
503.0,21844.794
504.0,22612.784
505.0,23153.446000000004
506.0,23220.212
507.0,23799.376
508.0,23944.783999999996
509.0,24557.125999999997
510.0,24955.25
511.0,25547.112
512.0,26043.8475
513.0,26732.478000000003
514.0,27022.059999999998
515.0,27024.108
516.0,27611.056000000004
517.0,28031.3
518.0,28569.096
519.0,28667.809999999998
520.0,29269.091999999997
521.0,29366.677499999998
522.0,29829.825999999994
523.0,30334.854000000003
524.0,30406.534000000003
525.0,30727.656
526.0,31158.14
527.0,31505.884
528.0,31816.764000000003
529.0,31793.418000000005
530.0,32562.019999999997
531.0,32711.727999999996
532.0,33135.653999999995
533.0,33332.672000000006
534.0,33654.097499999996
535.0,33903.234
536.0,34242.788
537.0,34672.455
538.0,35124.231999999996
539.0,35599.774
540.0,35356.475000000006
541.0,36199.828
542.0,36288.3
543.0,36912.93
544.0,37102.162
545.0,37587.225
546.0,38389.514
547.0,38445.835
548.0,39137.842000000004
549.0,39451.18400000001
550.0,40280.815
551.0,40788.094
552.0,41046.244999999995
553.0,41756.373999999996
554.0,42142.93
555.0,42582.12
556.0,43269.315
557.0,43818.6825
558.0,44169.294
559.0,44691.630000000005
560.0,45895.732
561.0,45781.66
562.0,46857.048
563.0,47075.975000000006
564.0,47981.1775
565.0,48341.416
566.0,49141.862499999996
567.0,49935.965
568.0,50291.9
569.0,51206.215
570.0,51622.97749999999
571.0,52304.64399999999
572.0,52549.170000000006
573.0,53277.7375
574.0,53755.4225
575.0,54464.43199999999
576.0,54556.182499999995
577.0,55166.4775
578.0,55644.165
579.0,56143.86750000001
580.0,56400.99399999999
581.0,57212.91
582.0,57328.6175
583.0,57656.80499999999
584.0,58199.5175
585.0,58775.50750000001
586.0,58895.00800000001
587.0,59245.005000000005
588.0,59212.75
589.0,59668.42
590.0,60054.465
591.0,59775.427500000005
592.0,60549.05
593.0,60385.725
594.0,60207.549999999996
595.0,60681.1425
596.0,60574.137500000004
597.0,60742.582500000004
598.0,60749.75
599.0,60871.09
600.0,60985.780000000006
601.0,60882.354999999996
602.0,60701.6225
603.0,60612.5375
604.0,60687.8025
605.0,60743.0975
606.0,60654.520000000004
607.0,60647.35
608.0,60675.512500000004
609.0,60550.075000000004
610.0,60873.48333333334
611.0,60548.534999999996
612.0,60294.5875
613.0,60129.7275
614.0,59651.5275
615.0,59671.494999999995
616.0,59880.21666666667
617.0,59426.7625
618.0,58848.21
619.0,58936.787500000006
620.0,58577.36750000001
621.0,57912.80333333334
622.0,57862.625
623.0,57858.53
624.0,57148.3975
625.0,56400.036666666674
626.0,56298.49
627.0,55797.25
628.0,55735.130000000005
629.0,55246.3475
630.0,54556.69500000001
631.0,54336.36666666667
632.0,53633.5725
633.0,52974.6375
634.0,52117.049999999996
635.0,52258.36
636.0,51544.6425
637.0,50895.09333333333
638.0,50697.2975
639.0,49951.66333333333
640.0,49080.425
641.0,48631.9175
642.0,48796.60999999999
643.0,47761.534999999996
644.0,47326.85
645.0,46459.534999999996
646.0,46169.06666666667
647.0,45630.619999999995
648.0,45317.793333333335
649.0,44385.455
650.0,44382.55333333334
651.0,43297.985
652.0,42669.08666666667
653.0,42237.65000000001
654.0,41841.706666666665
655.0,41324.7675
656.0,40996.58000000001
657.0,40230.64000000001
658.0,39596.2825
659.0,38416.14333333333
660.0,38590.72749999999
661.0,37763.52
662.0,37288.39333333333
663.0,36692.2625
664.0,36405.71666666667
665.0,35374.905
666.0,34642.416666666664
667.0,34294.26
668.0,33878.35249999999
