Date Saved,17/12/2024 12:47:48
Title,led6500K_007_02ﾟ_2408K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],2408
⊿uv,-0.0041
Illuminance [lx],200

Peak Wavelength [nm],620
Tristimulus Value X,238.0928
Tristimulus Value Y,200.4962
Tristimulus Value Z,60.0508
CIE1931 x,0.4775
CIE1931 y,0.4021
CIE1931 z,0.1204
CIE1976 u',0.2780
CIE1976 v',0.5267
Dominant Wavelength [nm],587
Purity [%],64.01
CRI Ra,91.5
CRI R1,96.3
CRI R2,97.7
CRI R3,93.6
CRI R4,94.7
CRI R5,97.7
CRI R6,91.0
CRI R7,85.5
CRI R8,75.2
CRI R9,52.2
CRI R10,96.7
CRI R11,97.7
CRI R12,85.8
CRI R13,98.6
CRI R14,97.9
CRI R15,89.5

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000091642
Spectral Data 390[nm],0.000008710223
Spectral Data 395[nm],0.000025067080
Spectral Data 400[nm],0.000025068262
Spectral Data 405[nm],0.000016398093
Spectral Data 410[nm],0.000016037711
Spectral Data 415[nm],0.000028386099
Spectral Data 420[nm],0.000055005119
Spectral Data 425[nm],0.000103844934
Spectral Data 430[nm],0.000183758923
Spectral Data 435[nm],0.000316005258
Spectral Data 440[nm],0.000514613814
Spectral Data 445[nm],0.000764568162
Spectral Data 450[nm],0.001020532567
Spectral Data 455[nm],0.001222996274
Spectral Data 460[nm],0.001318475115
Spectral Data 465[nm],0.001283401856
Spectral Data 470[nm],0.001166247879
Spectral Data 475[nm],0.001041944255
Spectral Data 480[nm],0.000954705407
Spectral Data 485[nm],0.000924727123
Spectral Data 490[nm],0.000959398749
Spectral Data 495[nm],0.001045378391
Spectral Data 500[nm],0.001164091518
Spectral Data 505[nm],0.001303111785
Spectral Data 510[nm],0.001450214768
Spectral Data 515[nm],0.001592459041
Spectral Data 520[nm],0.001722225104
Spectral Data 525[nm],0.001831605798
Spectral Data 530[nm],0.001921923133
Spectral Data 535[nm],0.001999445958
Spectral Data 540[nm],0.002073043026
Spectral Data 545[nm],0.002141783712
Spectral Data 550[nm],0.002208743012
Spectral Data 555[nm],0.002286078641
Spectral Data 560[nm],0.002378019039
Spectral Data 565[nm],0.002499904251
Spectral Data 570[nm],0.002667559776
Spectral Data 575[nm],0.002885414520
Spectral Data 580[nm],0.003152666613
Spectral Data 585[nm],0.003461889224
Spectral Data 590[nm],0.003787743393
Spectral Data 595[nm],0.004108935129
Spectral Data 600[nm],0.004435413517
Spectral Data 605[nm],0.004735013936
Spectral Data 610[nm],0.004961637314
Spectral Data 615[nm],0.005085075740
Spectral Data 620[nm],0.005120964255
Spectral Data 625[nm],0.005068592262
Spectral Data 630[nm],0.004920649342
Spectral Data 635[nm],0.004731454421
Spectral Data 640[nm],0.004509740975
Spectral Data 645[nm],0.004241614137
Spectral Data 650[nm],0.003963474184
Spectral Data 655[nm],0.003654229222
Spectral Data 660[nm],0.003335596528
Spectral Data 665[nm],0.003013583831
Spectral Data 670[nm],0.002701183781
Spectral Data 675[nm],0.002398328623
Spectral Data 680[nm],0.002117464552
Spectral Data 685[nm],0.001865784870
Spectral Data 690[nm],0.001634172979
Spectral Data 695[nm],0.001421527122
Spectral Data 700[nm],0.001239377889
Spectral Data 705[nm],0.001083054231
Spectral Data 710[nm],0.000940833241
Spectral Data 715[nm],0.000817739696
Spectral Data 720[nm],0.000705106417
Spectral Data 725[nm],0.000610806339
Spectral Data 730[nm],0.000532757374
Spectral Data 735[nm],0.000467276783
Spectral Data 740[nm],0.000418077019
Spectral Data 745[nm],0.000375588133
Spectral Data 750[nm],0.000342040701
Spectral Data 755[nm],0.000313242868
Spectral Data 760[nm],0.000287928502
Spectral Data 765[nm],0.000265553041
Spectral Data 770[nm],0.000244777388
Spectral Data 775[nm],0.000222783128
Spectral Data 780[nm],0.000197743313

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000002287112
Spectral Data 390[nm],0.000007835489
Spectral Data 391[nm],0.000012803323
Spectral Data 392[nm],0.000017221417
Spectral Data 393[nm],0.000021100523
Spectral Data 394[nm],0.000024342960
Spectral Data 395[nm],0.000026814545
Spectral Data 396[nm],0.000028381070
Spectral Data 397[nm],0.000028933862
Spectral Data 398[nm],0.000028565573
Spectral Data 399[nm],0.000027464275
Spectral Data 400[nm],0.000025818608
Spectral Data 401[nm],0.000023816365
Spectral Data 402[nm],0.000021629703
Spectral Data 403[nm],0.000019420902
Spectral Data 404[nm],0.000017352282
Spectral Data 405[nm],0.000015583590
Spectral Data 406[nm],0.000014241007
Spectral Data 407[nm],0.000013420984
Spectral Data 408[nm],0.000013218367
Spectral Data 409[nm],0.000013724947
Spectral Data 410[nm],0.000014932200
Spectral Data 411[nm],0.000016711161
Spectral Data 412[nm],0.000018925737
Spectral Data 413[nm],0.000021441172
Spectral Data 414[nm],0.000024218363
Spectral Data 415[nm],0.000027376038
Spectral Data 416[nm],0.000031047683
Spectral Data 417[nm],0.000035366695
Spectral Data 418[nm],0.000040446212
Spectral Data 419[nm],0.000046352874
Spectral Data 420[nm],0.000053146818
Spectral Data 421[nm],0.000060888171
Spectral Data 422[nm],0.000069622176
Spectral Data 423[nm],0.000079345678
Spectral Data 424[nm],0.000090045745
Spectral Data 425[nm],0.000101709440
Spectral Data 426[nm],0.000114362556
Spectral Data 427[nm],0.000128211090
Spectral Data 428[nm],0.000143513316
Spectral Data 429[nm],0.000160527503
Spectral Data 430[nm],0.000179504554
Spectral Data 431[nm],0.000200645780
Spectral Data 432[nm],0.000224132062
Spectral Data 433[nm],0.000250144192
Spectral Data 434[nm],0.000278854975
Spectral Data 435[nm],0.000310357223
Spectral Data 436[nm],0.000344697852
Spectral Data 437[nm],0.000381923222
Spectral Data 438[nm],0.000422063022
Spectral Data 439[nm],0.000464974670
Spectral Data 440[nm],0.000510376121
Spectral Data 441[nm],0.000557977881
Spectral Data 442[nm],0.000607489143
Spectral Data 443[nm],0.000658575504
Spectral Data 444[nm],0.000710851396
Spectral Data 445[nm],0.000763928401
Spectral Data 446[nm],0.000817418448
Spectral Data 447[nm],0.000870864256
Spectral Data 448[nm],0.000923686079
Spectral Data 449[nm],0.000975295552
Spectral Data 450[nm],0.001025103498
Spectral Data 451[nm],0.001072575571
Spectral Data 452[nm],0.001117337728
Spectral Data 453[nm],0.001159034320
Spectral Data 454[nm],0.001197309699
Spectral Data 455[nm],0.001231780509
Spectral Data 456[nm],0.001261955244
Spectral Data 457[nm],0.001287316321
Spectral Data 458[nm],0.001307346160
Spectral Data 459[nm],0.001321602496
Spectral Data 460[nm],0.001330026542
Spectral Data 461[nm],0.001332711312
Spectral Data 462[nm],0.001329751336
Spectral Data 463[nm],0.001321282354
Spectral Data 464[nm],0.001307864557
Spectral Data 465[nm],0.001290292596
Spectral Data 466[nm],0.001269362634
Spectral Data 467[nm],0.001245864900
Spectral Data 468[nm],0.001220497419
Spectral Data 469[nm],0.001193883596
Spectral Data 470[nm],0.001166644040
Spectral Data 471[nm],0.001139397267
Spectral Data 472[nm],0.001112636761
Spectral Data 473[nm],0.001086705481
Spectral Data 474[nm],0.001061939052
Spectral Data 475[nm],0.001038672170
Spectral Data 476[nm],0.001017150353
Spectral Data 477[nm],0.000997464173
Spectral Data 478[nm],0.000979688368
Spectral Data 479[nm],0.000963897328
Spectral Data 480[nm],0.000950193265
Spectral Data 481[nm],0.000938764249
Spectral Data 482[nm],0.000929806614
Spectral Data 483[nm],0.000923516869
Spectral Data 484[nm],0.000920052291
Spectral Data 485[nm],0.000919387734
Spectral Data 486[nm],0.000921458879
Spectral Data 487[nm],0.000926201465
Spectral Data 488[nm],0.000933535455
Spectral Data 489[nm],0.000943305553
Spectral Data 490[nm],0.000955324387
