Date Saved,04/11/2024 17:20:16
Title,semspe 2700K _015_02ﾟ_1594K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],1594
⊿uv,-0.0109
Illuminance [lx],618

Peak Wavelength [nm],620
Tristimulus Value X,917.3330
Tristimulus Value Y,618.4000
Tristimulus Value Z,139.5918
CIE1931 x,0.5476
CIE1931 y,0.3691
CIE1931 z,0.0833
CIE1976 u',0.3458
CIE1976 v',0.5245
Dominant Wavelength [nm],598
Purity [%],75.12
CRI Ra,77.6
CRI R1,91.3
CRI R2,90.8
CRI R3,72.3
CRI R4,86.7
CRI R5,98.3
CRI R6,68.9
CRI R7,64.3
CRI R8,48.1
CRI R9,14.8
CRI R10,78.2
CRI R11,94.8
CRI R12,32.0
CRI R13,98.0
CRI R14,86.5
CRI R15,76.0

Spectral Data 380[nm],0.000274879945
Spectral Data 385[nm],0.000315120997
Spectral Data 390[nm],0.000319906336
Spectral Data 395[nm],0.000296322512
Spectral Data 400[nm],0.000268181320
Spectral Data 405[nm],0.000241643444
Spectral Data 410[nm],0.000238485954
Spectral Data 415[nm],0.000256948755
Spectral Data 420[nm],0.000302014960
Spectral Data 425[nm],0.000393976050
Spectral Data 430[nm],0.000545779127
Spectral Data 435[nm],0.000813305727
Spectral Data 440[nm],0.001238678815
Spectral Data 445[nm],0.001778949983
Spectral Data 450[nm],0.002335281577
Spectral Data 455[nm],0.002796513028
Spectral Data 460[nm],0.003052793676
Spectral Data 465[nm],0.003022476332
Spectral Data 470[nm],0.002786851488
Spectral Data 475[nm],0.002490740735
Spectral Data 480[nm],0.002221681178
Spectral Data 485[nm],0.002048094524
Spectral Data 490[nm],0.002027380979
Spectral Data 495[nm],0.002131062793
Spectral Data 500[nm],0.002300976077
Spectral Data 505[nm],0.002518341178
Spectral Data 510[nm],0.002751690568
Spectral Data 515[nm],0.002962293802
Spectral Data 520[nm],0.003143708454
Spectral Data 525[nm],0.003300976939
Spectral Data 530[nm],0.003441586858
Spectral Data 535[nm],0.003580712480
Spectral Data 540[nm],0.003731893376
Spectral Data 545[nm],0.003905384336
Spectral Data 550[nm],0.004103140905
Spectral Data 555[nm],0.004325537477
Spectral Data 560[nm],0.004598714877
Spectral Data 565[nm],0.005011897534
Spectral Data 570[nm],0.005705779884
Spectral Data 575[nm],0.006809804123
Spectral Data 580[nm],0.008464348502
Spectral Data 585[nm],0.010739868507
Spectral Data 590[nm],0.013481480069
Spectral Data 595[nm],0.016387781128
Spectral Data 600[nm],0.019246017560
Spectral Data 605[nm],0.021713232622
Spectral Data 610[nm],0.023486316204
Spectral Data 615[nm],0.024434883147
Spectral Data 620[nm],0.024701470509
Spectral Data 625[nm],0.024373361841
Spectral Data 630[nm],0.023461563513
Spectral Data 635[nm],0.022296646610
Spectral Data 640[nm],0.020979961380
Spectral Data 645[nm],0.019472518936
Spectral Data 650[nm],0.017960848287
Spectral Data 655[nm],0.016361352056
Spectral Data 660[nm],0.014792072587
Spectral Data 665[nm],0.013259629719
Spectral Data 670[nm],0.011795911007
Spectral Data 675[nm],0.010415658355
Spectral Data 680[nm],0.009160447866
Spectral Data 685[nm],0.008047966287
Spectral Data 690[nm],0.007033656817
Spectral Data 695[nm],0.006110330112
Spectral Data 700[nm],0.005329452921
Spectral Data 705[nm],0.004651668482
Spectral Data 710[nm],0.004042981658
Spectral Data 715[nm],0.003526790068
Spectral Data 720[nm],0.003051987151
Spectral Data 725[nm],0.002651724266
Spectral Data 730[nm],0.002310497453
Spectral Data 735[nm],0.002017370891
Spectral Data 740[nm],0.001798520912
Spectral Data 745[nm],0.001605920377
Spectral Data 750[nm],0.001449720003
Spectral Data 755[nm],0.001324338489
Spectral Data 760[nm],0.001219648286
Spectral Data 765[nm],0.001132086967
Spectral Data 770[nm],0.001054624212
Spectral Data 775[nm],0.001002468402
Spectral Data 780[nm],0.000877148064

Spectral Data 380[nm],0.000266160263
Spectral Data 381[nm],0.000280795328
Spectral Data 382[nm],0.000293352234
Spectral Data 383[nm],0.000303825596
Spectral Data 384[nm],0.000312209973
Spectral Data 385[nm],0.000318524457
Spectral Data 386[nm],0.000322852662
Spectral Data 387[nm],0.000325288798
Spectral Data 388[nm],0.000325927045
Spectral Data 389[nm],0.000324885274
Spectral Data 390[nm],0.000322370237
Spectral Data 391[nm],0.000318609789
Spectral Data 392[nm],0.000313831668
Spectral Data 393[nm],0.000308277697
Spectral Data 394[nm],0.000302265806
Spectral Data 395[nm],0.000296139537
Spectral Data 396[nm],0.000290242431
Spectral Data 397[nm],0.000284860958
Spectral Data 398[nm],0.000279831351
Spectral Data 399[nm],0.000274776627
Spectral Data 400[nm],0.000269318407
Spectral Data 401[nm],0.000263126392
Spectral Data 402[nm],0.000256420084
Spectral Data 403[nm],0.000249781529
Spectral Data 404[nm],0.000243800096
Spectral Data 405[nm],0.000239046582
Spectral Data 406[nm],0.000235777188
Spectral Data 407[nm],0.000233971485
Spectral Data 408[nm],0.000233598548
Spectral Data 409[nm],0.000234623003
Spectral Data 410[nm],0.000236862747
Spectral Data 411[nm],0.000239959496
Spectral Data 412[nm],0.000243544535
Spectral Data 413[nm],0.000247253280
Spectral Data 414[nm],0.000251017394
Spectral Data 415[nm],0.000255257386
Spectral Data 416[nm],0.000260439410
Spectral Data 417[nm],0.000267029245
Spectral Data 418[nm],0.000275392114
Spectral Data 419[nm],0.000285662449
Spectral Data 420[nm],0.000297942490
Spectral Data 421[nm],0.000312334450
Spectral Data 422[nm],0.000328888535
Spectral Data 423[nm],0.000347486144
Spectral Data 424[nm],0.000367974513
Spectral Data 425[nm],0.000390200934
Spectral Data 426[nm],0.000414115755
Spectral Data 427[nm],0.000440149044
Spectral Data 428[nm],0.000468870101
Spectral Data 429[nm],0.000500848226
Spectral Data 430[nm],0.000536673644
Spectral Data 431[nm],0.000577077095
Spectral Data 432[nm],0.000622847176
Spectral Data 433[nm],0.000674772658
Spectral Data 434[nm],0.000733588182
Spectral Data 435[nm],0.000799489440
Spectral Data 436[nm],0.000872362347
Spectral Data 437[nm],0.000952089322
Spectral Data 438[nm],0.001038520946
Spectral Data 439[nm],0.001131199650
Spectral Data 440[nm],0.001229416812
Spectral Data 441[nm],0.001332449610
Spectral Data 442[nm],0.001439573709
Spectral Data 443[nm],0.001550019952
Spectral Data 444[nm],0.001662966679
Spectral Data 445[nm],0.001777589554
Spectral Data 446[nm],0.001893065055
Spectral Data 447[nm],0.002008478856
Spectral Data 448[nm],0.002122753998
Spectral Data 449[nm],0.002234803280
Spectral Data 450[nm],0.002343538217
Spectral Data 451[nm],0.002448013052
Spectral Data 452[nm],0.002547680167
Spectral Data 453[nm],0.002642043401
Spectral Data 454[nm],0.002730606589
Spectral Data 455[nm],0.002812705236
Spectral Data 456[nm],0.002887019888
Spectral Data 457[nm],0.002952073468
Spectral Data 458[nm],0.003006387968
Spectral Data 459[nm],0.003048649291
Spectral Data 460[nm],0.003078367794
Spectral Data 461[nm],0.003095382359
Spectral Data 462[nm],0.003099535126
Spectral Data 463[nm],0.003090779530
Spectral Data 464[nm],0.003070216859
