Surface Order,Tcp [K],Illuminance [lx],Peak Wavelength [nm],Tristimulus Value X,Tristimulus Value Y,Tristimulus Value Z,CIE1931 x,CIE1931 y,CIE1931 z,CIE1976 u',CIE1976 v',Dominant Wavelength [nm]
1,3781,180,545,178.2701,179.9269,92.1152,0.3959,0.3996,0.2046,0.2261,0.5135,577
2,3897,81.5,545,80.5533,81.4841,44.9405,0.3892,0.3937,0.2171,0.2241,0.5101,577
3,3877,80.3,545,79.5470,80.3357,44.0367,0.3901,0.3940,0.2160,0.2246,0.5104,577
4,3792,42.4,545,42.3666,42.4441,22.7680,0.3938,0.3945,0.2116,0.2268,0.5111,578
5,3883,28.0,545,27.7669,27.9886,15.5413,0.3895,0.3926,0.2180,0.2247,0.5097,577
6,3901,17.9,545,17.7767,17.9413,10.0255,0.3886,0.3922,0.2192,0.2243,0.5094,577
7,6081,48.8,545,43.1017,48.8336,43.5139,0.3182,0.3605,0.3213,0.1903,0.4850,518
8,2256,68.0,612,90.4370,67.9747,44.3980,0.4459,0.3352,0.2189,0.2910,0.4921,609
9,3045,145,545,144.0906,145.3742,20.2351,0.4653,0.4694,0.0653,0.2416,0.5485,578
10,2355,63.4,612,77.3563,63.3784,23.1041,0.4721,0.3868,0.1410,0.2820,0.5198,590
11,4497,83.9,545,70.1031,83.8969,32.3024,0.3763,0.4503,0.1734,0.1967,0.5297,567
12,4961,45.0,545,46.2916,45.0238,43.0453,0.3445,0.3351,0.3204,0.2176,0.4763,599
13,2579,89.4,612,103.4926,89.3657,31.1276,0.4620,0.3990,0.1390,0.2693,0.5232,586
14,4340,64.2,545,66.3782,64.1850,52.1853,0.3632,0.3512,0.2856,0.2239,0.4872,584
15,2463,77.6,612,94.3682,77.6306,34.7552,0.4564,0.3755,0.1681,0.2769,0.5126,591
16,3303,66.6,612,71.1543,66.5725,34.7082,0.4126,0.3861,0.2013,0.2425,0.5104,583
17,3733,126,545,117.0051,126.1141,40.4433,0.4126,0.4447,0.1426,0.2197,0.5329,574
18,3160,122,612,124.4037,121.7984,36.8472,0.4395,0.4303,0.1302,0.2413,0.5316,579
19,4240,111,545,103.4736,110.7431,59.3901,0.3782,0.4048,0.2171,0.2130,0.5130,573
20,3996,116,545,116.4683,116.3083,72.2268,0.3819,0.3813,0.2368,0.2242,0.5038,578
21,3914,93.2,545,88.3469,93.1994,41.9999,0.3952,0.4169,0.1879,0.2192,0.5202,574
22,4248,93.0,545,92.3492,93.0462,63.5639,0.3709,0.3737,0.2553,0.2200,0.4988,577
23,2927,123,612,136.0140,122.5147,53.8629,0.4354,0.3922,0.1724,0.2548,0.5164,585
24,3134,66.6,612,71.4279,66.6288,29.4854,0.4263,0.3977,0.1760,0.2464,0.5173,583
25,3912,483,545,477.6958,483.1077,269.4729,0.3883,0.3927,0.2190,0.2239,0.5096,577
