Date Saved,05/11/2024 14:17:27
Title,semspe plafondtp_019_02ﾟ_4240K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],4240
⊿uv,0.0133
Illuminance [lx],111

Peak Wavelength [nm],545
Tristimulus Value X,103.4736
Tristimulus Value Y,110.7431
Tristimulus Value Z,59.3901
CIE1931 x,0.3782
CIE1931 y,0.4048
CIE1931 z,0.2171
CIE1976 u',0.2130
CIE1976 v',0.5130
Dominant Wavelength [nm],573
Purity [%],35.00
CRI Ra,78.3
CRI R1,89.9
CRI R2,85.0
CRI R3,52.6
CRI R4,85.3
CRI R5,79.3
CRI R6,69.2
CRI R7,87.8
CRI R8,77.4
CRI R9,17.0
CRI R10,36.3
CRI R11,67.1
CRI R12,42.1
CRI R13,88.7
CRI R14,69.2
CRI R15,90.6

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000001343237
Spectral Data 390[nm],0.000042863390
Spectral Data 395[nm],0.000140184740
Spectral Data 400[nm],0.000239756904
Spectral Data 405[nm],0.000293775665
Spectral Data 410[nm],0.000280719309
Spectral Data 415[nm],0.000264820963
Spectral Data 420[nm],0.000283730391
Spectral Data 425[nm],0.000435274531
Spectral Data 430[nm],0.001111954800
Spectral Data 435[nm],0.001785102766
Spectral Data 440[nm],0.001581141027
Spectral Data 445[nm],0.000879382889
Spectral Data 450[nm],0.000574682374
Spectral Data 455[nm],0.000545724411
Spectral Data 460[nm],0.000517527515
Spectral Data 465[nm],0.000486894714
Spectral Data 470[nm],0.000472198619
Spectral Data 475[nm],0.000513684412
Spectral Data 480[nm],0.000772153086
Spectral Data 485[nm],0.001217232551
Spectral Data 490[nm],0.001363951946
Spectral Data 495[nm],0.001046815654
Spectral Data 500[nm],0.000641503488
Spectral Data 505[nm],0.000470231811
Spectral Data 510[nm],0.000300355023
Spectral Data 515[nm],0.000166838174
Spectral Data 520[nm],0.000138263626
Spectral Data 525[nm],0.000292679673
Spectral Data 530[nm],0.000667572720
Spectral Data 535[nm],0.001902653370
Spectral Data 540[nm],0.004204455297
Spectral Data 545[nm],0.005368922837
Spectral Data 550[nm],0.004042695276
Spectral Data 555[nm],0.001966605429
Spectral Data 560[nm],0.000763315940
Spectral Data 565[nm],0.000348543515
Spectral Data 570[nm],0.000353321055
Spectral Data 575[nm],0.000610333984
Spectral Data 580[nm],0.000904571032
Spectral Data 585[nm],0.001129500684
Spectral Data 590[nm],0.001248486689
Spectral Data 595[nm],0.001188555500
Spectral Data 600[nm],0.001019505435
Spectral Data 605[nm],0.002038403414
Spectral Data 610[nm],0.003695467254
Spectral Data 615[nm],0.003488025162
Spectral Data 620[nm],0.002188956132
Spectral Data 625[nm],0.001575987088
Spectral Data 630[nm],0.001073016902
Spectral Data 635[nm],0.000683439313
Spectral Data 640[nm],0.000454022986
Spectral Data 645[nm],0.000335558958
Spectral Data 650[nm],0.000287246541
Spectral Data 655[nm],0.000275553844
Spectral Data 660[nm],0.000261817331
Spectral Data 665[nm],0.000231023485
Spectral Data 670[nm],0.000198896203
Spectral Data 675[nm],0.000181066323
Spectral Data 680[nm],0.000180736941
Spectral Data 685[nm],0.000189427883
Spectral Data 690[nm],0.000198958078
Spectral Data 695[nm],0.000208488054
Spectral Data 700[nm],0.000302281958
Spectral Data 705[nm],0.000461875054
Spectral Data 710[nm],0.000463422883
Spectral Data 715[nm],0.000265407551
Spectral Data 720[nm],0.000115384966
Spectral Data 725[nm],0.000053952950
Spectral Data 730[nm],0.000036638758
Spectral Data 735[nm],0.000036781643
Spectral Data 740[nm],0.000046394678
Spectral Data 745[nm],0.000058619895
Spectral Data 750[nm],0.000053658481
Spectral Data 755[nm],0.000039098242
Spectral Data 760[nm],0.000048181431
Spectral Data 765[nm],0.000122070247
Spectral Data 770[nm],0.000109340159
