Surface Order,Tcp [K],Illuminance [lx],Peak Wavelength [nm],Tristimulus Value X,Tristimulus Value Y,Tristimulus Value Z,CIE1931 x,CIE1931 y,CIE1931 z,CIE1976 u',CIE1976 v',Dominant Wavelength [nm]
1,6661,768,467,698.5624,767.6210,799.6610,0.3083,0.3388,0.3529,0.1912,0.4728,494
2,6811,560,465,507.7281,560.3180,592.9713,0.3057,0.3373,0.3570,0.1900,0.4717,493
3,6561,459,465,422.3446,459.0346,479.0361,0.3105,0.3374,0.3521,0.1932,0.4724,494
4,6243,362,536,332.6631,361.6582,358.0882,0.3161,0.3436,0.3403,0.1948,0.4764,500
5,6481,285,464,265.8223,285.0796,300.1413,0.3123,0.3350,0.3527,0.1954,0.4714,493
6,6824,288,467,265.6212,288.0587,313.3694,0.3064,0.3322,0.3614,0.1922,0.4691,491
7,8802,274,479,240.7843,274.0151,345.7336,0.2798,0.3184,0.4018,0.1787,0.4577,488
8,4905,280,624,284.3665,279.8628,256.5007,0.3465,0.3410,0.3125,0.2166,0.4796,585
9,4181,345,542,329.2963,345.1240,195.0910,0.3787,0.3969,0.2244,0.2162,0.5099,574
10,4435,213,626,223.6693,212.8202,187.2503,0.3586,0.3412,0.3002,0.2249,0.4815,592
11,6961,284,533,236.1425,283.9661,270.8968,0.2985,0.3590,0.3425,0.1779,0.4815,502
12,7010,506,463,473.0194,505.5053,575.2435,0.3044,0.3253,0.3702,0.1934,0.4651,488
13,4700,234,609,244.7988,233.9477,219.0834,0.3508,0.3353,0.3139,0.2220,0.4773,601
14,8608,210,459,213.9136,210.4113,303.7894,0.2938,0.2890,0.4172,0.1999,0.4423,475
15,4995,244,614,259.7224,244.4494,253.8870,0.3426,0.3225,0.3349,0.2216,0.4693,-508
16,5946,240,536,224.7952,239.7886,232.5672,0.3224,0.3440,0.3336,0.1990,0.4775,505
17,5425,379,537,326.6004,379.2798,268.7207,0.3351,0.3892,0.2757,0.1915,0.5004,556
18,5330,533,541,491.0713,532.9674,432.1473,0.3372,0.3660,0.2968,0.2008,0.4904,559
19,6901,566,534,489.4806,566.2623,566.4654,0.3017,0.3491,0.3492,0.1833,0.4771,498
20,7961,307,461,282.3213,306.5394,378.4449,0.2919,0.3169,0.3912,0.1877,0.4586,486
21,6520,321,534,288.9882,321.0977,321.4765,0.3102,0.3447,0.3451,0.1904,0.4761,498
22,7902,261,461,243.0941,261.3749,324.6046,0.2932,0.3153,0.3915,0.1893,0.4579,486
23,5308,262,495,259.2685,262.3725,248.0588,0.3368,0.3409,0.3223,0.2100,0.4781,569
24,5409,201,467,196.3318,200.7268,189.7975,0.3345,0.3420,0.3234,0.2079,0.4783,560
25,7261,2510,461,2293.3822,2507.5188,2851.7158,0.2997,0.3277,0.3726,0.1893,0.4657,489
