Date Saved,04/11/2024 15:50:01
Title,semspe jour_023_02ﾟ_5308K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],5308
⊿uv,-0.0020
Illuminance [lx],262

Peak Wavelength [nm],495
Tristimulus Value X,259.2685
Tristimulus Value Y,262.3725
Tristimulus Value Z,248.0588
CIE1931 x,0.3368
CIE1931 y,0.3409
CIE1931 z,0.3223
CIE1976 u',0.2100
CIE1976 v',0.4781
Dominant Wavelength [nm],569
Purity [%],3.33
CRI Ra,89.1
CRI R1,85.8
CRI R2,89.8
CRI R3,93.7
CRI R4,87.0
CRI R5,86.1
CRI R6,85.9
CRI R7,95.8
CRI R8,88.5
CRI R9,66.4
CRI R10,76.4
CRI R11,82.8
CRI R12,78.3
CRI R13,86.0
CRI R14,96.4
CRI R15,85.4

Spectral Data 380[nm],0.000627986097
Spectral Data 385[nm],0.000824217801
Spectral Data 390[nm],0.001086155535
Spectral Data 395[nm],0.001391711878
Spectral Data 400[nm],0.001750467112
Spectral Data 405[nm],0.002109956462
Spectral Data 410[nm],0.002380365040
Spectral Data 415[nm],0.002514348133
Spectral Data 420[nm],0.002563904272
Spectral Data 425[nm],0.002595852828
Spectral Data 430[nm],0.002654422540
Spectral Data 435[nm],0.002776292386
Spectral Data 440[nm],0.002979072742
Spectral Data 445[nm],0.003223008942
Spectral Data 450[nm],0.003440282540
Spectral Data 455[nm],0.003611891530
Spectral Data 460[nm],0.003745006397
Spectral Data 465[nm],0.003852255642
Spectral Data 470[nm],0.003943212330
Spectral Data 475[nm],0.004029463511
Spectral Data 480[nm],0.004112503491
Spectral Data 485[nm],0.004171115346
Spectral Data 490[nm],0.004202221520
Spectral Data 495[nm],0.004213393200
Spectral Data 500[nm],0.004197706468
Spectral Data 505[nm],0.004153167829
Spectral Data 510[nm],0.004078802187
Spectral Data 515[nm],0.003987880424
Spectral Data 520[nm],0.003883278929
Spectral Data 525[nm],0.003768691095
Spectral Data 530[nm],0.003663977841
Spectral Data 535[nm],0.003585060127
Spectral Data 540[nm],0.003518732963
Spectral Data 545[nm],0.003453448182
Spectral Data 550[nm],0.003380816663
Spectral Data 555[nm],0.003304632846
Spectral Data 560[nm],0.003216586076
Spectral Data 565[nm],0.003139584558
Spectral Data 570[nm],0.003112542210
Spectral Data 575[nm],0.003144183429
Spectral Data 580[nm],0.003231137060
Spectral Data 585[nm],0.003363456111
Spectral Data 590[nm],0.003508978290
Spectral Data 595[nm],0.003648512764
Spectral Data 600[nm],0.003805134678
Spectral Data 605[nm],0.003965221811
Spectral Data 610[nm],0.004061902873
Spectral Data 615[nm],0.004052104894
Spectral Data 620[nm],0.003991005942
Spectral Data 625[nm],0.003927296028
Spectral Data 630[nm],0.003856429132
Spectral Data 635[nm],0.003801985644
Spectral Data 640[nm],0.003749557538
Spectral Data 645[nm],0.003680763301
Spectral Data 650[nm],0.003615007503
Spectral Data 655[nm],0.003562325612
Spectral Data 660[nm],0.003565132152
Spectral Data 665[nm],0.003598070703
Spectral Data 670[nm],0.003600649536
Spectral Data 675[nm],0.003512631869
Spectral Data 680[nm],0.003344259923
Spectral Data 685[nm],0.003147084732
Spectral Data 690[nm],0.002986590844
Spectral Data 695[nm],0.002893652767
Spectral Data 700[nm],0.002858693013
Spectral Data 705[nm],0.002813595347
Spectral Data 710[nm],0.002672874136
Spectral Data 715[nm],0.002462549135
Spectral Data 720[nm],0.002270292956
Spectral Data 725[nm],0.002203576965
Spectral Data 730[nm],0.002295947867
Spectral Data 735[nm],0.002477500122
Spectral Data 740[nm],0.002638268750
Spectral Data 745[nm],0.002654943382
Spectral Data 750[nm],0.002488263883
Spectral Data 755[nm],0.002217551228
Spectral Data 760[nm],0.001966723474
Spectral Data 765[nm],0.001864187070
Spectral Data 770[nm],0.001940615592
Spectral Data 775[nm],0.002078862628
Spectral Data 780[nm],0.002156420145

Spectral Data 380[nm],0.000587760878
Spectral Data 381[nm],0.000632212614
Spectral Data 382[nm],0.000677416159
Spectral Data 383[nm],0.000723648933
Spectral Data 384[nm],0.000771188003
Spectral Data 385[nm],0.000820201356
Spectral Data 386[nm],0.000870567863
Spectral Data 387[nm],0.000922119245
Spectral Data 388[nm],0.000974687049
Spectral Data 389[nm],0.001028196770
Spectral Data 390[nm],0.001082926872
Spectral Data 391[nm],0.001139239175
Spectral Data 392[nm],0.001197495149
Spectral Data 393[nm],0.001258033910
Spectral Data 394[nm],0.001321071177
Spectral Data 395[nm],0.001386781456
Spectral Data 396[nm],0.001455338788
Spectral Data 397[nm],0.001526835724
Spectral Data 398[nm],0.001600716147
Spectral Data 399[nm],0.001676117303
Spectral Data 400[nm],0.001752174343
Spectral Data 401[nm],0.001828034874
Spectral Data 402[nm],0.001903032418
Spectral Data 403[nm],0.001976620173
Spectral Data 404[nm],0.002048251918
Spectral Data 405[nm],0.002117373981
Spectral Data 406[nm],0.002183174714
Spectral Data 407[nm],0.002244617790
Spectral Data 408[nm],0.002300665248
Spectral Data 409[nm],0.002350299386
Spectral Data 410[nm],0.002393173287
Spectral Data 411[nm],0.002429745626
Spectral Data 412[nm],0.002460522577
Spectral Data 413[nm],0.002486010781
Spectral Data 414[nm],0.002506748075
Spectral Data 415[nm],0.002523323987
Spectral Data 416[nm],0.002536332700
Spectral Data 417[nm],0.002546368400
Spectral Data 418[nm],0.002554054838
Spectral Data 419[nm],0.002560083289
Spectral Data 420[nm],0.002565155271
Spectral Data 421[nm],0.002569971140
Spectral Data 422[nm],0.002575115301
Spectral Data 423[nm],0.002580792643
Spectral Data 424[nm],0.002587130992
Spectral Data 425[nm],0.002594258869
Spectral Data 426[nm],0.002602330642
Spectral Data 427[nm],0.002611625940
Spectral Data 428[nm],0.002622459782
Spectral Data 429[nm],0.002635147888
Spectral Data 430[nm],0.002650009235
Spectral Data 431[nm],0.002667389577
Spectral Data 432[nm],0.002687646309
Spectral Data 433[nm],0.002711135661
Spectral Data 434[nm],0.002738194307
Spectral Data 435[nm],0.002768953331
Spectral Data 436[nm],0.002803426469
Spectral Data 437[nm],0.002841626061
Spectral Data 438[nm],0.002883535577
Spectral Data 439[nm],0.002928721486
Spectral Data 440[nm],0.002976418473
Spectral Data 441[nm],0.003025851445
Spectral Data 442[nm],0.003076246474
Spectral Data 443[nm],0.003126892960
Spectral Data 444[nm],0.003177158302
Spectral Data 445[nm],0.003226411529
Spectral Data 446[nm],0.003274025396
Spectral Data 447[nm],0.003319605486
Spectral Data 448[nm],0.003363145515
Spectral Data 449[nm],0.003404680407
Spectral Data 450[nm],0.003444244387
Spectral Data 451[nm],0.003481889144
Spectral Data 452[nm],0.003517719219
Spectral Data 453[nm],0.003551845206
Spectral Data 454[nm],0.003584376769
Spectral Data 455[nm],0.003615400055
Spectral Data 456[nm],0.003644905752
Spectral Data 457[nm],0.003672861261
Spectral Data 458[nm],0.003699234687
Spectral Data 459[nm],0.003724032314
Spectral Data 460[nm],0.003747486044
Spectral Data 461[nm],0.003769911360
Spectral Data 462[nm],0.003791623749
Spectral Data 463[nm],0.003812909126
Spectral Data 464[nm],0.003833778203
Spectral Data 465[nm],0.003854085924
Spectral Data 466[nm],0.003873685608
Spectral Data 467[nm],0.003892441513
Spectral Data 468[nm],0.003910388332
Spectral Data 469[nm],0.003927699290
Spectral Data 470[nm],0.003944552038
Spectral Data 471[nm],0.003961125389
Spectral Data 472[nm],0.003977624234
Spectral Data 473[nm],0.003994282801
Spectral Data 474[nm],0.004011336714
Spectral Data 475[nm],0.004029020667
Spectral Data 476[nm],0.004047289491
Spectral Data 477[nm],0.004065614659
Spectral Data 478[nm],0.004083418753
Spectral Data 479[nm],0.004100124817
Spectral Data 480[nm],0.004115349147
Spectral Data 481[nm],0.004129196052
Spectral Data 482[nm],0.004141850863
Spectral Data 483[nm],0.004153497051
Spectral Data 484[nm],0.004164254759
Spectral Data 485[nm],0.004174000118
Spectral Data 486[nm],0.004182545003
Spectral Data 487[nm],0.004189699888
Spectral Data 488[nm],0.004195342306
Spectral Data 489[nm],0.004199754912
Spectral Data 490[nm],0.004203372169
Spectral Data 491[nm],0.004206628539
Spectral Data 492[nm],0.004209899809
Spectral Data 493[nm],0.004212992266
Spectral Data 494[nm],0.004215382971
Spectral Data 495[nm],0.004216543399
Spectral Data 496[nm],0.004215973429
Spectral Data 497[nm],0.004213642329
Spectral Data 498[nm],0.004209907725
Spectral Data 499[nm],0.004205141217
Spectral Data 500[nm],0.004199704155
Spectral Data 501[nm],0.004193638451
Spectral Data 502[nm],0.004186597653
Spectral Data 503[nm],0.004178214818
Spectral Data 504[nm],0.004168124869
Spectral Data 505[nm],0.004156203009
Spectral Data 506[nm],0.004142750986
Spectral Data 507[nm],0.004128115717
Spectral Data 508[nm],0.004112643655
Spectral Data 509[nm],0.004096596967
Spectral Data 510[nm],0.004080011044
Spectral Data 511[nm],0.004062885884
Spectral Data 512[nm],0.004045221955
Spectral Data 513[nm],0.004027018324
Spectral Data 514[nm],0.004008281510
Spectral Data 515[nm],0.003989018034
Spectral Data 516[nm],0.003969233949
Spectral Data 517[nm],0.003948932979
Spectral Data 518[nm],0.003928094637
