Surface Order,Tcp [K],Illuminance [lx],Peak Wavelength [nm],Tristimulus Value X,Tristimulus Value Y,Tristimulus Value Z,CIE1931 x,CIE1931 y,CIE1931 z,CIE1976 u',CIE1976 v',Dominant Wavelength [nm]
1,2765,290,612,315.3283,290.0655,73.9289,0.4642,0.4270,0.1088,0.2580,0.5341,582
2,2796,239,612,258.0746,238.5475,62.0183,0.4620,0.4270,0.1110,0.2566,0.5338,582
3,2666,172,612,190.5743,171.8723,43.2868,0.4697,0.4236,0.1067,0.2630,0.5337,583
4,2607,133,612,148.7413,133.2964,30.4871,0.4759,0.4265,0.0976,0.2657,0.5356,583
5,2542,80.7,612,91.8137,80.7271,19.9290,0.4770,0.4194,0.1035,0.2695,0.5332,584
6,2889,83.3,612,89.3519,83.3498,24.4115,0.4533,0.4229,0.1238,0.2530,0.5310,582
7,3428,93.8,545,93.9400,93.8112,36.1261,0.4196,0.4190,0.1614,0.2335,0.5246,578
8,1817,122,612,168.6456,121.8048,33.3721,0.5208,0.3761,0.1031,0.3219,0.5231,595
9,2408,226,612,254.4718,225.9454,19.3654,0.5092,0.4521,0.0387,0.2750,0.5493,583
10,1698,113,612,159.0097,112.8254,17.9518,0.5487,0.3893,0.0619,0.3338,0.5330,594
11,3726,132,545,115.6408,131.9728,23.3266,0.4268,0.4871,0.0861,0.2136,0.5486,572
12,3028,79.4,612,87.6154,79.3886,38.1253,0.4271,0.3870,0.1859,0.2516,0.5130,585
13,1874,159,612,210.9371,159.4072,22.4945,0.5370,0.4058,0.0573,0.3161,0.5374,591
14,2772,89.7,612,103.2641,89.7018,42.2102,0.4391,0.3814,0.1795,0.2622,0.5124,588
15,1691,129,612,182.9577,128.6779,24.7478,0.5439,0.3825,0.0736,0.3346,0.5294,595
16,2517,80.2,612,93.3603,80.2295,25.3349,0.4693,0.4033,0.1274,0.2720,0.5260,586
17,3046,222,545,219.4437,222.3579,28.0532,0.4670,0.4732,0.0597,0.2412,0.5499,578
18,2298,226,612,262.0459,226.1289,20.0923,0.5156,0.4449,0.0395,0.2822,0.5479,584
19,3789,173,545,155.2197,173.2017,45.0028,0.4157,0.4638,0.1205,0.2150,0.5397,573
20,2800,122,612,136.3094,122.2456,45.4216,0.4484,0.4022,0.1494,0.2589,0.5224,584
21,2990,92.2,612,94.0543,92.1878,17.9386,0.4606,0.4515,0.0879,0.2458,0.5420,579
22,2934,108,612,118.0214,108.4798,40.4681,0.4421,0.4063,0.1516,0.2529,0.5230,583
23,2047,165,612,209.4261,165.0011,31.2432,0.5162,0.4067,0.0770,0.3015,0.5345,589
24,2473,122,612,139.6753,121.6664,27.0986,0.4842,0.4218,0.0939,0.2731,0.5352,585
25,2862,7090,612,7614.3149,7090.7098,1990.8289,0.4561,0.4247,0.1192,0.2539,0.5320,582
