Surface Order,Tcp [K],Illuminance [lx],Peak Wavelength [nm],Tristimulus Value X,Tristimulus Value Y,Tristimulus Value Z,CIE1931 x,CIE1931 y,CIE1931 z,CIE1976 u',CIE1976 v',Dominant Wavelength [nm]
1,2695,1490,608,1658.4939,1485.7753,444.8102,0.4621,0.4140,0.1239,0.2624,0.5290,584
2,2763,1250,608,1374.7229,1245.1831,385.2468,0.4575,0.4143,0.1282,0.2593,0.5284,583
3,2679,835,609,937.2259,835.2359,256.0471,0.4620,0.4117,0.1262,0.2634,0.5281,584
4,2595,552,609,625.0019,552.2268,150.2900,0.4708,0.4160,0.1132,0.2671,0.5310,584
5,2519,307,612,356.1691,307.1677,93.0874,0.4709,0.4061,0.1231,0.2717,0.5273,586
6,2716,210,611,236.1522,210.0881,71.5916,0.4560,0.4057,0.1383,0.2622,0.5249,585
7,3555,503,613,513.5603,502.5409,252.7377,0.4047,0.3961,0.1992,0.2332,0.5134,580
8,1778,685,625,963.2242,684.8246,197.9944,0.5218,0.3710,0.1073,0.3257,0.5210,597
9,2221,1270,611,1500.5230,1270.2389,106.2891,0.5215,0.4415,0.0369,0.2876,0.5477,585
10,1652,560,625,808.4744,559.6409,112.5405,0.5460,0.3780,0.0760,0.3390,0.5279,596
11,3543,607,588,568.3827,606.5228,156.3231,0.4270,0.4556,0.1174,0.2243,0.5386,575
12,2817,331,609,387.6143,331.4979,185.7533,0.4284,0.3664,0.2053,0.2620,0.5042,591
13,1725,698,610,963.4928,697.9309,72.3706,0.5557,0.4025,0.0417,0.3308,0.5392,592
14,2815,440,610,513.7375,440.2580,242.7046,0.4293,0.3679,0.2028,0.2619,0.5050,591
15,1594,618,620,917.3330,618.4000,139.5918,0.5476,0.3691,0.0833,0.3458,0.5245,598
16,2211,407,613,505.1964,407.2863,115.6909,0.4914,0.3961,0.1125,0.2903,0.5265,589
17,2813,945,604,984.9528,944.6216,137.0832,0.4766,0.4571,0.0663,0.2531,0.5462,580
18,2183,1060,609,1272.8854,1057.3928,128.0463,0.5178,0.4301,0.0521,0.2906,0.5432,586
19,3661,775,587,731.0766,774.9322,256.3623,0.4148,0.4397,0.1455,0.2228,0.5314,575
20,2758,589,622,666.4266,589.2951,232.1742,0.4479,0.3961,0.1560,0.2613,0.5198,586
21,2826,374,609,399.2153,373.8954,88.1837,0.4635,0.4341,0.1024,0.2546,0.5365,581
22,2813,489,610,555.8690,489.3509,219.7169,0.4394,0.3869,0.1737,0.2599,0.5148,587
23,2028,744,615,961.0466,743.7725,184.0656,0.5088,0.3938,0.0974,0.3034,0.5283,591
24,2042,365,610,465.2730,365.0127,74.0804,0.5145,0.4036,0.0819,0.3020,0.5331,590
25,2745,8530,608,9477.4466,8529.0432,2729.8748,0.4570,0.4113,0.1316,0.2604,0.5272,584
