Date Saved,05/11/2024 11:39:07
Title,semspe 4000K_018_02ﾟ_2977K

Measuring Mode,Ambient
Viewing Angle [ﾟ],2
Tcp [K],2977
⊿uv,0.0098
Illuminance [lx],467

Peak Wavelength [nm],599
Tristimulus Value X,485.8807
Tristimulus Value Y,466.5333
Tristimulus Value Z,118.3143
CIE1931 x,0.4538
CIE1931 y,0.4357
CIE1931 z,0.1105
CIE1976 u',0.2479
CIE1976 v',0.5356
Dominant Wavelength [nm],580
Purity [%],67.04
CRI Ra,75.3
CRI R1,71.6
CRI R2,83.0
CRI R3,93.7
CRI R4,71.6
CRI R5,69.4
CRI R6,76.1
CRI R7,84.5
CRI R8,52.4
CRI R9,-15.6
CRI R10,59.5
CRI R11,65.2
CRI R12,45.8
CRI R13,73.5
CRI R14,95.9
CRI R15,63.3

Spectral Data 380[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 390[nm],0.000001469903
Spectral Data 395[nm],0.000009789239
Spectral Data 400[nm],0.000006473957
Spectral Data 405[nm],0.000001671350
Spectral Data 410[nm],0.000010918676
Spectral Data 415[nm],0.000041402542
Spectral Data 420[nm],0.000104416999
Spectral Data 425[nm],0.000220845031
Spectral Data 430[nm],0.000410900830
Spectral Data 435[nm],0.000717422343
Spectral Data 440[nm],0.001160584507
Spectral Data 445[nm],0.001683213748
Spectral Data 450[nm],0.002163981786
Spectral Data 455[nm],0.002475312911
Spectral Data 460[nm],0.002538977424
Spectral Data 465[nm],0.002359522274
Spectral Data 470[nm],0.002064753557
Spectral Data 475[nm],0.001805900596
Spectral Data 480[nm],0.001652153791
Spectral Data 485[nm],0.001607633079
Spectral Data 490[nm],0.001673237421
Spectral Data 495[nm],0.001835912699
Spectral Data 500[nm],0.002078585094
Spectral Data 505[nm],0.002403514227
Spectral Data 510[nm],0.002816154156
Spectral Data 515[nm],0.003312179586
Spectral Data 520[nm],0.003876826726
Spectral Data 525[nm],0.004463943187
Spectral Data 530[nm],0.005023770966
Spectral Data 535[nm],0.005518351682
Spectral Data 540[nm],0.005928428378
Spectral Data 545[nm],0.006250078324
Spectral Data 550[nm],0.006514560431
Spectral Data 555[nm],0.006773157511
Spectral Data 560[nm],0.007047049236
Spectral Data 565[nm],0.007363249548
Spectral Data 570[nm],0.007732661907
Spectral Data 575[nm],0.008118857630
Spectral Data 580[nm],0.008495162241
Spectral Data 585[nm],0.008825820871
Spectral Data 590[nm],0.009047723375
Spectral Data 595[nm],0.009129226208
Spectral Data 600[nm],0.009140598588
Spectral Data 605[nm],0.009085847996
Spectral Data 610[nm],0.008906333707
Spectral Data 615[nm],0.008587704040
Spectral Data 620[nm],0.008205553517
Spectral Data 625[nm],0.007760704961
Spectral Data 630[nm],0.007232785691
Spectral Data 635[nm],0.006712573115
Spectral Data 640[nm],0.006204504985
Spectral Data 645[nm],0.005675608758
Spectral Data 650[nm],0.005171055440
Spectral Data 655[nm],0.004665233660
Spectral Data 660[nm],0.004177387804
Spectral Data 665[nm],0.003708375385
Spectral Data 670[nm],0.003275651485
Spectral Data 675[nm],0.002873868681
Spectral Data 680[nm],0.002513958141
Spectral Data 685[nm],0.002201833297
Spectral Data 690[nm],0.001924255164
Spectral Data 695[nm],0.001676842454
Spectral Data 700[nm],0.001461905544
Spectral Data 705[nm],0.001275465009
Spectral Data 710[nm],0.001104035066
Spectral Data 715[nm],0.000952735834
Spectral Data 720[nm],0.000819792971
Spectral Data 725[nm],0.000709801563
Spectral Data 730[nm],0.000627063622
Spectral Data 735[nm],0.000565901806
Spectral Data 740[nm],0.000521778828
Spectral Data 745[nm],0.000481323397
Spectral Data 750[nm],0.000445480720
Spectral Data 755[nm],0.000413351110
Spectral Data 760[nm],0.000383260980
Spectral Data 765[nm],0.000354642922
Spectral Data 770[nm],0.000325933332
Spectral Data 775[nm],0.000296361948
Spectral Data 780[nm],0.000244528695

Spectral Data 380[nm],0.000000000000
Spectral Data 381[nm],0.000000000000
Spectral Data 382[nm],0.000000000000
Spectral Data 383[nm],0.000000000000
Spectral Data 384[nm],0.000000000000
Spectral Data 385[nm],0.000000000000
Spectral Data 386[nm],0.000000000000
Spectral Data 387[nm],0.000000000000
Spectral Data 388[nm],0.000000000000
Spectral Data 389[nm],0.000000000000
Spectral Data 390[nm],0.000000000000
Spectral Data 391[nm],0.000000000000
Spectral Data 392[nm],0.000003528174
Spectral Data 393[nm],0.000007799787
Spectral Data 394[nm],0.000010562114
Spectral Data 395[nm],0.000011989366
Spectral Data 396[nm],0.000012255840
Spectral Data 397[nm],0.000011545559
Spectral Data 398[nm],0.000010119224
Spectral Data 399[nm],0.000008273872
Spectral Data 400[nm],0.000006306756
Spectral Data 401[nm],0.000004502939
Spectral Data 402[nm],0.000002996154
Spectral Data 403[nm],0.000001821184
Spectral Data 404[nm],0.000001011311
Spectral Data 405[nm],0.000000602361
Spectral Data 406[nm],0.000000695994
Spectral Data 407[nm],0.000001451269
Spectral Data 408[nm],0.000003028365
Spectral Data 409[nm],0.000005583775
Spectral Data 410[nm],0.000009153084
Spectral Data 411[nm],0.000013626711
Spectral Data 412[nm],0.000018886480
Spectral Data 413[nm],0.000024816150
Spectral Data 414[nm],0.000031437678
Spectral Data 415[nm],0.000039001032
Spectral Data 416[nm],0.000047777525
Spectral Data 417[nm],0.000058038342
Spectral Data 418[nm],0.000070029469
Spectral Data 419[nm],0.000083938998
Spectral Data 420[nm],0.000099946963
Spectral Data 421[nm],0.000118233365
Spectral Data 422[nm],0.000138939184
Spectral Data 423[nm],0.000162078693
Spectral Data 424[nm],0.000187640559
Spectral Data 425[nm],0.000215613400
Spectral Data 426[nm],0.000246058102
Spectral Data 427[nm],0.000279371714
Spectral Data 428[nm],0.000316048739
Spectral Data 429[nm],0.000356583740
Spectral Data 430[nm],0.000401463913
Spectral Data 431[nm],0.000451127300
Spectral Data 432[nm],0.000505991513
Spectral Data 433[nm],0.000566474162
Spectral Data 434[nm],0.000632962154
Spectral Data 435[nm],0.000705534825
Spectral Data 436[nm],0.000784094969
Spectral Data 437[nm],0.000868543459
Spectral Data 438[nm],0.000958748336
Spectral Data 439[nm],0.001054174383
Spectral Data 440[nm],0.001153963734
Spectral Data 441[nm],0.001257245429
Spectral Data 442[nm],0.001363143674
Spectral Data 443[nm],0.001470699557
Spectral Data 444[nm],0.001578857657
Spectral Data 445[nm],0.001686554402
Spectral Data 446[nm],0.001792729599
Spectral Data 447[nm],0.001896260772
Spectral Data 448[nm],0.001995904604
Spectral Data 449[nm],0.002090416150
Spectral Data 450[nm],0.002178548602
Spectral Data 451[nm],0.002259223256
Spectral Data 452[nm],0.002331841504
Spectral Data 453[nm],0.002395863645
Spectral Data 454[nm],0.002450749744
Spectral Data 455[nm],0.002495964756
Spectral Data 456[nm],0.002530994592
Spectral Data 457[nm],0.002555328887
Spectral Data 458[nm],0.002568458207
Spectral Data 459[nm],0.002570011187
Spectral Data 460[nm],0.002560334513
Spectral Data 461[nm],0.002540057059
Spectral Data 462[nm],0.002509810263
Spectral Data 463[nm],0.002470287262
Spectral Data 464[nm],0.002422814025
Spectral Data 465[nm],0.002369066235
Spectral Data 466[nm],0.002310722135
Spectral Data 467[nm],0.002249442274
Spectral Data 468[nm],0.002186640399
Spectral Data 469[nm],0.002123528626
Spectral Data 470[nm],0.002061311156
Spectral Data 471[nm],0.002001187531
Spectral Data 472[nm],0.001944075106
Spectral Data 473[nm],0.001890550135
Spectral Data 474[nm],0.001841173507
Spectral Data 475[nm],0.001796502853
Spectral Data 476[nm],0.001756823389
Spectral Data 477[nm],0.001721944893
Spectral Data 478[nm],0.001691629877
Spectral Data 479[nm],0.001665639807
Spectral Data 480[nm],0.001643806929
Spectral Data 481[nm],0.001626167563
Spectral Data 482[nm],0.001612782478
Spectral Data 483[nm],0.001603712095
Spectral Data 484[nm],0.001599027193
Spectral Data 485[nm],0.001598791918
Spectral Data 486[nm],0.001603079960
Spectral Data 487[nm],0.001611965359
Spectral Data 488[nm],0.001625479665
Spectral Data 489[nm],0.001643433352
Spectral Data 490[nm],0.001665546675
Spectral Data 491[nm],0.001691539073
Spectral Data 492[nm],0.001721141627
Spectral Data 493[nm],0.001754162600
Spectral Data 494[nm],0.001790458336
Spectral Data 495[nm],0.001829887042
Spectral Data 496[nm],0.001872313442
Spectral Data 497[nm],0.001917706453
Spectral Data 498[nm],0.001966122072
Spectral Data 499[nm],0.002017618623
Spectral Data 500[nm],0.002072253264
Spectral Data 501[nm],0.002130115172
Spectral Data 502[nm],0.002191334032
Spectral Data 503[nm],0.002256039297
Spectral Data 504[nm],0.002324359957
Spectral Data 505[nm],0.002396363765
Spectral Data 506[nm],0.002471996937
Spectral Data 507[nm],0.002551198704
Spectral Data 508[nm],0.002633907367
Spectral Data 509[nm],0.002720057499
Spectral Data 510[nm],0.002809590427
Spectral Data 511[nm],0.002902442124
Spectral Data 512[nm],0.002998548560
Spectral Data 513[nm],0.003097861772
Spectral Data 514[nm],0.003200363833
Spectral Data 515[nm],0.003306052880
Spectral Data 516[nm],0.003414927283
Spectral Data 517[nm],0.003526915330
Spectral Data 518[nm],0.003641504329
Spectral Data 519[nm],0.003758009523
Spectral Data 520[nm],0.003875746625
Spectral Data 521[nm],0.003994055558
Spectral Data 522[nm],0.004112513736
Spectral Data 523[nm],0.004230835941
Spectral Data 524[nm],0.004348739050
Spectral Data 525[nm],0.004465934820
Spectral Data 526[nm],0.004582099617
Spectral Data 527[nm],0.004696876276
Spectral Data 528[nm],0.004809904378
Spectral Data 529[nm],0.004920828156
Spectral Data 530[nm],0.005029315129
Spectral Data 531[nm],0.005135062151
Spectral Data 532[nm],0.005237771664
Spectral Data 533[nm],0.005337145180
Spectral Data 534[nm],0.005432995968
Spectral Data 535[nm],0.005525351968
Spectral Data 536[nm],0.005614259280
Spectral Data 537[nm],0.005699764472
Spectral Data 538[nm],0.005781868473
Spectral Data 539[nm],0.005860453937
Spectral Data 540[nm],0.005935381167
Spectral Data 541[nm],0.006006511860
Spectral Data 542[nm],0.006073787343
Spectral Data 543[nm],0.006137450691
Spectral Data 544[nm],0.006197829731
Spectral Data 545[nm],0.006255252752
Spectral Data 546[nm],0.006310074590
Spectral Data 547[nm],0.006362825632
Spectral Data 548[nm],0.006414105650
Spectral Data 549[nm],0.006464516278
Spectral Data 550[nm],0.006514642853
Spectral Data 551[nm],0.006564884447
Spectral Data 552[nm],0.006615499966
Spectral Data 553[nm],0.006666742731
Spectral Data 554[nm],0.006718861870
Spectral Data 555[nm],0.006771908142
Spectral Data 556[nm],0.006825641729
Spectral Data 557[nm],0.006879802793
Spectral Data 558[nm],0.006934129633
Spectral Data 559[nm],0.006988612004
Spectral Data 560[nm],0.007043959107
Spectral Data 561[nm],0.007101010531
Spectral Data 562[nm],0.007160605397
Spectral Data 563[nm],0.007223455701
Spectral Data 564[nm],0.007289488800
Spectral Data 565[nm],0.007358336356
Spectral Data 566[nm],0.007429630496
Spectral Data 567[nm],0.007503000088
Spectral Data 568[nm],0.007578040939
Spectral Data 569[nm],0.007654322777
Spectral Data 570[nm],0.007731416263
Spectral Data 571[nm],0.007808893919
Spectral Data 572[nm],0.007886475883
Spectral Data 573[nm],0.007964091375
Spectral Data 574[nm],0.008041689172
Spectral Data 575[nm],0.008119216189
Spectral Data 576[nm],0.008196560666
Spectral Data 577[nm],0.008273438551
Spectral Data 578[nm],0.008349537849
Spectral Data 579[nm],0.008424542844
Spectral Data 580[nm],0.008498142473
Spectral Data 581[nm],0.008570038714
Spectral Data 582[nm],0.008639939129
Spectral Data 583[nm],0.008707550354
Spectral Data 584[nm],0.008772552945
Spectral Data 585[nm],0.008834234439
Spectral Data 586[nm],0.008891589940
Spectral Data 587[nm],0.008943608962
Spectral Data 588[nm],0.008989277296
Spectral Data 589[nm],0.009028054774
Spectral Data 590[nm],0.009060108103
Spectral Data 591[nm],0.009085636586
Spectral Data 592[nm],0.009104842320
Spectral Data 593[nm],0.009118233807
Spectral Data 594[nm],0.009127135389
Spectral Data 595[nm],0.009133005515
Spectral Data 596[nm],0.009137302637
Spectral Data 597[nm],0.009141191840
Spectral Data 598[nm],0.009144392796
Spectral Data 599[nm],0.009146179073
Spectral Data 600[nm],0.009145826101
Spectral Data 601[nm],0.009142634459
Spectral Data 602[nm],0.009136197157
Spectral Data 603[nm],0.009126264602
Spectral Data 604[nm],0.009112588130
Spectral Data 605[nm],0.009094911627
Spectral Data 606[nm],0.009072634391
Spectral Data 607[nm],0.009044822305
Spectral Data 608[nm],0.009010531008
Spectral Data 609[nm],0.008968824521
Spectral Data 610[nm],0.008919434622
Spectral Data 611[nm],0.008863265626
Spectral Data 612[nm],0.008801332675
Spectral Data 613[nm],0.008734653704
Spectral Data 614[nm],0.008664237335
Spectral Data 615[nm],0.008591067977
Spectral Data 616[nm],0.008516126312
Spectral Data 617[nm],0.008440393023
Spectral Data 618[nm],0.008364632726
Spectral Data 619[nm],0.008288330398
Spectral Data 620[nm],0.008210500702
Spectral Data 621[nm],0.008130158298
Spectral Data 622[nm],0.008046352305
Spectral Data 623[nm],0.007958526723
Spectral Data 624[nm],0.007866388187
Spectral Data 625[nm],0.007769646123
Spectral Data 626[nm],0.007668036502
Spectral Data 627[nm],0.007562030572
Spectral Data 628[nm],0.007452941500
Spectral Data 629[nm],0.007342125289
Spectral Data 630[nm],0.007230941672
Spectral Data 631[nm],0.007120660506
Spectral Data 632[nm],0.007012356073
Spectral Data 633[nm],0.006907084957
Spectral Data 634[nm],0.006805905607
Spectral Data 635[nm],0.006709201727
Spectral Data 636[nm],0.006614755373
Spectral Data 637[nm],0.006519753486
Spectral Data 638[nm],0.006421382073
Spectral Data 639[nm],0.006317283958
Spectral Data 640[nm],0.006208472420
Spectral Data 641[nm],0.006097471341
Spectral Data 642[nm],0.005986812524
Spectral Data 643[nm],0.005878915079
Spectral Data 644[nm],0.005774393212
Spectral Data 645[nm],0.005672394764
Spectral Data 646[nm],0.005572026595
Spectral Data 647[nm],0.005472399294
Spectral Data 648[nm],0.005372835789
Spectral Data 649[nm],0.005272968672
Spectral Data 650[nm],0.005172453821
