Wavelength,Coef
380.0,7.77
381.0,9.922500000000001
382.0,8.705
383.0,8.8425
384.0,8.585
385.0,7.59
386.0,6.285
387.0,7.153333333333333
388.0,9.31
389.0,11.520000000000001
390.0,12.327499999999999
391.0,13.6175
392.0,15.782499999999999
393.0,23.335
394.0,30.28
395.0,30.817500000000003
396.0,29.5
397.0,27.06
398.0,26.702499999999997
399.0,23.589999999999996
400.0,26.12
401.0,34.1275
402.0,32.45
403.0,32.7425
404.0,35.8375
405.0,40.35
406.0,44.28
407.0,43.400000000000006
408.0,35.4675
409.0,22.4675
410.0,21.665
411.0,22.834999999999997
412.0,23.435000000000002
413.0,21.845
414.0,19.612499999999997
415.0,22.685000000000002
416.0,24.87
417.0,26.695
418.0,29.53
419.0,31.795
420.0,30.5775
421.0,31.3
422.0,31.9925
423.0,33.5325
424.0,34.697500000000005
425.0,31.5875
426.0,30.0575
427.0,27.5325
428.0,27.662499999999998
429.0,29.0675
430.0,30.6275
431.0,53.545
432.0,126.0275
433.0,170.57
434.0,177.28249999999997
435.0,179.185
436.0,179.8325
437.0,181.77500000000003
438.0,178.92749999999998
439.0,138.79
440.0,68.52250000000001
441.0,39.2875
442.0,35.775
443.0,35.8125
444.0,34.36
445.0,31.595
446.0,33.7875
447.0,37.9425
448.0,38.425
449.0,37.9025
450.0,38.777499999999996
451.0,42.6525
452.0,47.185
453.0,49.715
454.0,48.6675
455.0,47.800000000000004
456.0,48.395
457.0,52.3775
458.0,52.65
459.0,49.16
460.0,47.2175
461.0,48.5375
462.0,47.964999999999996
463.0,44.682500000000005
464.0,44.31
465.0,43.08
466.0,47.4975
467.0,47.54
468.0,47.2775
469.0,46.4875
470.0,50.084999999999994
471.0,55.165
472.0,55.9775
473.0,55.04750000000001
474.0,52.2325
475.0,50.735
476.0,49.805
477.0,51.237500000000004
478.0,53.9875
479.0,55.947500000000005
480.0,63.87499999999999
481.0,76.91
482.0,100.44999999999999
483.0,129.6475
484.0,159.31
485.0,183.73
486.0,203.495
487.0,215.4075
488.0,219.34750000000003
489.0,213.86499999999998
490.0,198.26749999999998
491.0,178.6025
492.0,160.04250000000002
493.0,144.81
494.0,127.1275
495.0,112.21749999999999
496.0,102.6375
497.0,97.665
498.0,87.97999999999999
499.0,81.0175
500.0,74.19
501.0,66.685
502.0,61.510000000000005
503.0,54.89
504.0,45.8025
505.0,42.86
506.0,40.75
507.0,32.725
508.0,30.655
509.0,30.474999999999998
510.0,29.402500000000003
511.0,32.1475
512.0,28.650000000000002
513.0,26.9125
514.0,26.852500000000003
515.0,28.395
516.0,29.307499999999997
517.0,26.476
518.0,23.9875
519.0,21.207500000000003
520.0,19.427500000000002
521.0,19.98
522.0,18.815
523.0,18.270000000000003
524.0,19.065
525.0,20.035
526.0,22.75
527.0,24.4775
528.0,21.6575
529.0,23.794
530.0,25.939999999999998
531.0,25.560000000000002
532.0,26.21
533.0,24.58
534.0,30.035
535.0,41.96
536.0,63.25750000000001
537.0,99.965
538.0,161.6225
539.0,232.68999999999997
540.0,300.01750000000004
541.0,357.16
542.0,422.27250000000004
543.0,487.36
544.0,510.34999999999997
545.0,492.9625
546.0,452.57
547.0,402.94999999999993
548.0,353.24
549.0,298.5475
550.0,221.3275
551.0,158.3625
552.0,118.9225
553.0,89.7175
554.0,69.0025
555.0,48.205000000000005
556.0,32.782
557.0,23.070000000000004
558.0,19.4625
559.0,15.66
560.0,13.59
561.0,10.592500000000001
562.0,10.4975
563.0,10.758
564.0,8.0925
565.0,7.525
566.0,8.4875
567.0,10.6975
568.0,11.93
569.0,9.57
570.0,9.956
571.0,12.3225
572.0,13.7625
573.0,16.3
574.0,15.2125
575.0,15.5125
576.0,19.97
577.0,29.380000000000003
578.0,34.1575
579.0,38.025
580.0,37.7325
581.0,40.43
582.0,41.94500000000001
583.0,48.126
584.0,48.352500000000006
585.0,49.495000000000005
586.0,47.845
587.0,46.432500000000005
588.0,43.184999999999995
589.0,42.442
590.0,39.8675
591.0,38.28
592.0,36.32
593.0,33.217499999999994
594.0,32.60249999999999
595.0,33.316
596.0,36.9175
597.0,33.26
598.0,30.545
599.0,25.5475
600.0,27.947999999999997
601.0,28.477500000000003
602.0,30.115000000000002
603.0,26.3575
604.0,25.7275
605.0,26.8625
606.0,32.106
607.0,45.7625
608.0,79.48
609.0,107.395
610.0,123.8375
611.0,134.266
612.0,140.9975
613.0,142.785
614.0,137.18
615.0,106.728
616.0,70.9475
617.0,52.447500000000005
618.0,38.62
619.0,31.927500000000002
620.0,23.184
621.0,16.535
622.0,14.645
623.0,17.270000000000003
624.0,17.450000000000003
625.0,23.898
626.0,26.617500000000003
627.0,29.205000000000002
628.0,31.549999999999997
629.0,34.955999999999996
630.0,32.2725
631.0,28.064999999999998
632.0,21.685000000000002
633.0,17.165
634.0,15.638
635.0,15.3975
