Wavelength,Coef
380.0,-2.17
381.0,4.0825000000000005
382.0,3.825
383.0,4.914999999999999
384.0,3.0575
385.0,5.1225
386.0,1.105
387.0,2.186666666666667
388.0,6.57
389.0,7.93
390.0,5.705
391.0,5.7475
392.0,5.9875
393.0,14.43
394.0,25.979999999999997
395.0,27.775000000000002
396.0,21.737500000000004
397.0,16.615
398.0,18.58
399.0,18.7925
400.0,19.765
401.0,28.5125
402.0,23.425
403.0,24.1575
404.0,29.9625
405.0,39.127500000000005
406.0,43.00666666666667
407.0,40.9625
408.0,34.6325
409.0,19.7525
410.0,18.9625
411.0,18.585
412.0,16.7925
413.0,11.430000000000001
414.0,6.5225
415.0,8.3875
416.0,11.592500000000001
417.0,12.440000000000001
418.0,15.467500000000001
419.0,19.535
420.0,19.165
421.0,18.0625
422.0,15.1275
423.0,15.282499999999999
424.0,14.3125
425.0,9.655000000000001
426.0,7.3149999999999995
427.0,3.98
428.0,2.6950000000000003
429.0,2.4524999999999997
430.0,1.8025000000000002
431.0,10.415000000000001
432.0,44.93
433.0,73.2775
434.0,74.59
435.0,75.995
436.0,75.85249999999999
437.0,78.11
438.0,78.49749999999999
439.0,56.235
440.0,19.669999999999998
441.0,-0.26249999999999996
442.0,-2.93
443.0,-5.9275
444.0,-6.244999999999999
445.0,-9.695
446.0,-11.122499999999999
447.0,-8.9575
448.0,-9.575
449.0,-10.592500000000001
450.0,-11.0075
451.0,-7.975
452.0,-4.6875
453.0,-2.4575000000000005
454.0,-2.7600000000000002
455.0,-2.125
456.0,-3.1325
457.0,-3.4324999999999997
458.0,-1.7349999999999999
459.0,-2.1125
460.0,-2.7425
461.0,-0.14749999999999996
462.0,2.31
463.0,3.9625000000000004
464.0,6.297499999999999
465.0,7.4174999999999995
466.0,11.727500000000001
467.0,9.4925
468.0,8.12
469.0,5.324999999999999
470.0,6.967499999999999
471.0,8.045
472.0,9.447500000000002
473.0,10.5275
474.0,9.07
475.0,5.8774999999999995
476.0,7.3975
477.0,10.325
478.0,12.2125
479.0,10.3025
480.0,11.822500000000002
481.0,14.2325
482.0,20.8375
483.0,33.93000000000001
484.0,43.457499999999996
485.0,51.958000000000006
486.0,60.010000000000005
487.0,68.82499999999999
488.0,69.8125
489.0,67.8775
490.0,62.615
491.0,54.0275
492.0,47.2925
493.0,40.735
494.0,31.682499999999997
495.0,22.162499999999998
496.0,25.275
497.0,27.387500000000003
498.0,23.917500000000004
499.0,24.0625
500.0,22.502499999999998
501.0,22.0725
502.0,20.4825
503.0,16.106
504.0,7.1375
505.0,6.1175
506.0,7.2924999999999995
507.0,-1.82
508.0,-2.2175
509.0,-0.35750000000000004
510.0,1.09
511.0,4.4
512.0,1.645
513.0,-0.665
514.0,-1.8125
515.0,0.56
516.0,1.2425
517.0,-4.676
518.0,-6.3
519.0,-8.16
520.0,-5.7475000000000005
521.0,-3.5475
522.0,-4.2375
523.0,-3.7025
524.0,-2.635
525.0,-4.4675
526.0,-0.995
527.0,1.0125
528.0,-2.9525
529.0,0.882
530.0,4.8025
531.0,4.032500000000001
532.0,9.232499999999998
533.0,10.25
534.0,12.66
535.0,20.65
536.0,37.5725
537.0,62.084999999999994
538.0,105.89750000000001
539.0,161.496
540.0,216.5025
541.0,268.22249999999997
542.0,335.825
543.0,412.9875
544.0,448.28249999999997
545.0,449.97999999999996
546.0,427.56
547.0,395.09
548.0,356.2375
549.0,305.7175
550.0,225.16750000000002
551.0,157.03
552.0,113.5625
553.0,83.8525
554.0,59.7825
555.0,34.9775
556.0,19.662
557.0,11.975000000000001
558.0,6.1925
559.0,2.7175
560.0,0.4950000000000001
561.0,-4.13
562.0,-2.9249999999999994
563.0,-2.2920000000000003
564.0,-4.795
565.0,-4.4075
566.0,-1.585
567.0,0.23250000000000004
568.0,2.745
569.0,1.5225
570.0,4.272
571.0,6.37
572.0,8.07
573.0,13.605
574.0,17.282500000000002
575.0,27.93
576.0,41.9425
577.0,64.8
578.0,76.7525
579.0,87.83
580.0,92.64750000000001
581.0,97.845
582.0,99.99000000000001
583.0,106.44199999999998
584.0,111.46749999999999
585.0,116.6175
586.0,116.55
587.0,113.52000000000001
588.0,108.875
589.0,112.65599999999999
590.0,117.2925
591.0,114.6325
592.0,106.2
593.0,98.82250000000002
594.0,97.61250000000001
595.0,103.168
596.0,113.46499999999999
597.0,106.92249999999999
598.0,98.07
599.0,87.52749999999999
600.0,87.21799999999999
601.0,85.98750000000001
602.0,85.02250000000001
603.0,73.9
604.0,67.4525
605.0,71.7775
606.0,95.982
607.0,183.7575
608.0,357.1175
609.0,515.2275
610.0,622.175
611.0,696.5600000000001
612.0,738.8975
613.0,747.1625
614.0,714.305
615.0,564.6540000000001
616.0,379.0575
617.0,264.015
618.0,186.79499999999996
619.0,139.1425
620.0,107.49600000000001
621.0,92.30749999999999
622.0,90.05000000000001
623.0,94.255
624.0,99.49
625.0,107.52799999999999
626.0,112.715
627.0,121.92500000000001
628.0,134.07999999999998
629.0,142.51
630.0,130.57999999999998
631.0,114.0825
632.0,99.445
633.0,88.375
634.0,73.97
635.0,54.05499999999999
636.0,32.3225
637.0,22.9675
638.0,22.662
639.0,24.57
640.0,25.2675
641.0,25.1725
642.0,20.264
643.0,17.0575
644.0,17.5025
645.0,20.1175
646.0,23.052
647.0,27.0025
648.0,32.7275
649.0,44.0025
650.0,47.858
651.0,48.0375
652.0,47.4875
653.0,47.615
654.0,43.727999999999994
655.0,33.5325
656.0,27.71
657.0,26.5775
658.0,28.076
659.0,22.9475
660.0,16.619999999999997
661.0,12.142
662.0,9.955000000000002
663.0,2.9525
664.0,-0.6875
665.0,-1.83
666.0,-2.535
667.0,-3.2925
668.0,-4.496
669.0,-3.0025
670.0,-2.12
671.0,-4.04
672.0,-3.37
673.0,1.365
674.0,1.3224999999999998
675.0,1.252
676.0,6.84
677.0,8.0575
678.0,9.25
679.0,8.575999999999999
680.0,7.29
681.0,11.847499999999998
682.0,15.193999999999999
683.0,8.02
684.0,12.412499999999998
685.0,16.808
686.0,21.07
687.0,18.4975
688.0,16.342000000000002
689.0,16.3425
690.0,17.725
691.0,11.295
692.0,10.236
693.0,4.7225
694.0,3.27
695.0,2.056
696.0,-1.595
697.0,5.48
698.0,9.431999999999999
699.0,10.675
700.0,11.4475
701.0,14.406
702.0,19.2875
703.0,21.695
704.0,26.992
705.0,33.6825
706.0,38.300000000000004
707.0,41.245999999999995
708.0,42.722500000000004
709.0,43.966
710.0,46.480000000000004
711.0,40.94
712.0,33.99399999999999
713.0,23.4025
714.0,20.305
715.0,13.557999999999998
716.0,8.0925
717.0,2.39
718.0,-3.2840000000000003
719.0,-9.3625
720.0,-14.16
721.0,-19.144
722.0,-21.310000000000002
723.0,-18.024
724.0,-19.67
725.0,-12.4425
726.0,-15.232
727.0,-16.59
728.0,-12.6225
729.0,-10.245999999999999
730.0,-12.4975
731.0,-16.146
732.0,-24.4875
733.0,-23.9375
734.0,-11.858
735.0,-9.4025
736.0,-8.936
737.0,-10.055
738.0,-4.465
739.0,-2.7060000000000004
740.0,4.3
741.0,-2.66
742.0,-3.8175
743.0,-6.0825
744.0,-1.7420000000000002
745.0,-0.5825
746.0,5.68
747.0,9.342500000000001
748.0,10.81
749.0,7.343999999999999
750.0,9.71
751.0,5.616
752.0,3.1675
753.0,-1.6939999999999997
754.0,-7.2925
755.0,-10.0375
756.0,-11.758
757.0,-16.66
758.0,-15.002
759.0,-15.870000000000001
760.0,-13.5
761.0,-10.405000000000001
762.0,-6.29
763.0,-1.296
764.0,2.17
765.0,0.25399999999999995
766.0,-0.5750000000000001
767.0,-4.106
768.0,-8.59
769.0,-11.434000000000001
770.0,-10.7025
771.0,-9.2775
772.0,-9.983999999999998
773.0,-11.875
774.0,-13.486
775.0,-10.510000000000002
776.0,-7.345999999999999
777.0,-12.0625
778.0,-14.504000000000001
779.0,-14.51
780.0,-14.160000000000002
