Wavelength,Coef
380.0,-8.695
381.0,-4.69
382.0,-2.7100000000000004
383.0,-1.9849999999999999
384.0,-1.5625
385.0,-0.6124999999999999
386.0,-3.585
387.0,-3.1366666666666667
388.0,0.525
389.0,2.6675
390.0,0.605
391.0,0.7825
392.0,0.5975
393.0,6.4125
394.0,13.274999999999999
395.0,14.125
396.0,9.0875
397.0,4.2025
398.0,4.965
399.0,2.9075
400.0,9.3325
401.0,27.67
402.0,26.462500000000002
403.0,28.7575
404.0,33.254999999999995
405.0,39.9675
406.0,41.51
407.0,42.4125
408.0,32.095
409.0,11.100000000000001
410.0,8.5825
411.0,9.584999999999999
412.0,11.7875
413.0,10.8625
414.0,9.6525
415.0,11.805
416.0,13.29
417.0,13.797500000000001
418.0,17.5225
419.0,20.93
420.0,19.515
421.0,20.122500000000002
422.0,19.560000000000002
423.0,22.015
424.0,26.2825
425.0,26.4175
426.0,25.765
427.0,22.8375
428.0,21.14
429.0,23.1075
430.0,23.052500000000002
431.0,44.6075
432.0,120.5025
433.0,166.2475
434.0,172.6125
435.0,174.06
436.0,175.8125
437.0,176.4025
438.0,176.4575
439.0,134.205
440.0,57.9175
441.0,29.505000000000003
442.0,25.5425
443.0,24.195
444.0,21.8025
445.0,20.115
446.0,19.5925
447.0,20.525
448.0,15.835
449.0,9.835
450.0,7.6875
451.0,9.467500000000001
452.0,12.18
453.0,12.82
454.0,13.267499999999998
455.0,16.9525
456.0,20.814999999999998
457.0,23.730000000000004
458.0,26.0575
459.0,28.59
460.0,29.0475
461.0,30.5925
462.0,29.392500000000002
463.0,25.51
464.0,22.9775
465.0,22.41
466.0,23.605
467.0,19.195
468.0,18.5825
469.0,16.8525
470.0,18.6475
471.0,22.1425
472.0,22.785
473.0,21.435
474.0,19.777499999999996
475.0,16.715
476.0,16.61
477.0,16.310000000000002
478.0,17.565
479.0,16.785
480.0,20.7175
481.0,26.892500000000002
482.0,38.3425
483.0,53.5225
484.0,67.3875
485.0,81.66999999999999
486.0,91.925
487.0,98.7525
488.0,99.9825
489.0,97.9375
490.0,88.94000000000001
491.0,78.31750000000001
492.0,69.52000000000001
493.0,59.697500000000005
494.0,48.557500000000005
495.0,41.6275
496.0,39.9975
497.0,38.145
498.0,33.49
499.0,29.3375
500.0,24.205000000000002
501.0,22.892500000000002
502.0,18.25
503.0,13.446000000000002
504.0,6.297499999999999
505.0,6.985
506.0,6.392499999999999
507.0,2.5425000000000004
508.0,1.4925
509.0,3.4699999999999998
510.0,4.7425
511.0,6.235
512.0,5.625
513.0,1.6099999999999999
514.0,1.0875
515.0,2.1125
516.0,2.1075
517.0,-3.14
518.0,-5.7225
519.0,-10.6525
520.0,-11.502500000000001
521.0,-9.5375
522.0,-10.14
523.0,-11.1275
524.0,-9.055
525.0,-9.0425
526.0,-5.865
527.0,-2.2875
528.0,-3.1849999999999996
529.0,0.8720000000000001
530.0,5.422499999999999
531.0,5.9475
532.0,8.875
533.0,7.365
534.0,9.845
535.0,14.627500000000001
536.0,22.7775
537.0,36.795
538.0,62.792500000000004
539.0,98.61600000000001
540.0,133.07500000000002
541.0,164.755
542.0,201.8675
543.0,241.75
544.0,258.8375
545.0,255.5475
546.0,240.88750000000002
547.0,217.97999999999996
548.0,193.32
549.0,162.7775
550.0,121.08
551.0,84.39250000000001
552.0,59.942499999999995
553.0,42.72
554.0,27.5
555.0,13.34
556.0,2.0640000000000005
557.0,-2.8275
558.0,-6.46
559.0,-5.4625
560.0,-6.455
561.0,-6.6499999999999995
562.0,-5.282500000000001
563.0,-5.630000000000001
564.0,-7.057500000000001
565.0,-5.0600000000000005
566.0,-6.012499999999999
567.0,-4.495
568.0,-4.91
569.0,-7.739999999999999
570.0,-4.4319999999999995
571.0,-2.2474999999999996
572.0,-1.45
573.0,0.022499999999999964
574.0,-0.5025
575.0,3.9375
576.0,9.9175
577.0,20.166
578.0,25.6525
579.0,30.6375
580.0,32.49
581.0,39.855000000000004
582.0,43.4875
583.0,50.88600000000001
584.0,58.510000000000005
585.0,64.5375
586.0,68.03
587.0,68.02
588.0,63.9525
589.0,65.68199999999999
590.0,70.005
591.0,68.85
592.0,64.715
593.0,58.28
594.0,56.739999999999995
595.0,60.331999999999994
596.0,68.5225
597.0,65.845
598.0,61.529999999999994
599.0,53.32749999999999
600.0,54.827999999999996
601.0,57.545
602.0,58.620000000000005
603.0,52.88
604.0,51.0175
605.0,58.199999999999996
606.0,85.494
607.0,183.6
608.0,361.0925
609.0,512.3275000000001
610.0,613.175
611.0,681.708
612.0,725.6949999999999
613.0,736.7175
614.0,703.08
615.0,547.86
616.0,369.03749999999997
617.0,269.34
618.0,207.19
619.0,168.4275
620.0,143.436
621.0,135.6625
622.0,138.95250000000001
623.0,147.01
624.0,151.21249999999998
625.0,157.082
626.0,159.1625
627.0,166.945
628.0,177.10500000000002
629.0,175.304
630.0,161.435
631.0,141.6875
632.0,122.58
633.0,104.48499999999999
634.0,81.19200000000001
635.0,51.987500000000004
636.0,28.869999999999997
637.0,16.545
638.0,13.413999999999998
