Wavelength,Coef
380.0,-9.3275
381.0,-3.8449999999999998
382.0,-3.3925
383.0,-3.6075
384.0,-4.57
385.0,-4.734999999999999
386.0,-6.535
387.0,-3.78
388.0,0.5725
389.0,2.8675
390.0,2.6550000000000002
391.0,3.04
392.0,3.4450000000000003
393.0,15.327499999999999
394.0,26.7025
395.0,26.3675
396.0,23.17
397.0,19.4825
398.0,20.52
399.0,18.7175
400.0,20.33
401.0,31.5725
402.0,28.5575
403.0,31.747500000000002
404.0,36.5225
405.0,45.5325
406.0,49.82
407.0,50.87
408.0,43.275000000000006
409.0,22.8825
410.0,19.655
411.0,18.7625
412.0,18.225
413.0,12.004999999999999
414.0,5.75
415.0,4.470000000000001
416.0,8.41
417.0,12.225
418.0,14.215
419.0,15.247499999999999
420.0,11.8175
421.0,11.145
422.0,8.395
423.0,9.5925
424.0,11.8775
425.0,6.6525
426.0,5.7625
427.0,1.685
428.0,2.295
429.0,4.185
430.0,7.202500000000001
431.0,15.22
432.0,55.7225
433.0,92.925
434.0,98.98500000000001
435.0,100.345
436.0,97.7125
437.0,96.51
438.0,93.8725
439.0,69.51
440.0,20.855
441.0,-5.595000000000001
442.0,-12.855
443.0,-13.0875
444.0,-12.065
445.0,-15.5425
446.0,-16.0325
447.0,-14.182500000000001
448.0,-17.5175
449.0,-19.119999999999997
450.0,-20.4425
451.0,-19.322499999999998
452.0,-17.417499999999997
453.0,-16.905
454.0,-18.9375
455.0,-16.06
456.0,-12.525
457.0,-12.33
458.0,-7.63
459.0,-5.8425
460.0,-4.737500000000001
461.0,2.8724999999999996
462.0,5.8775
463.0,4.245
464.0,2.6950000000000003
465.0,3.665
466.0,5.5024999999999995
467.0,3.76
468.0,-1.95
469.0,-8.879999999999999
470.0,-7.4475
471.0,-3.6799999999999997
472.0,-2.96
473.0,-2.33
474.0,-4.3475
475.0,-7.3375
476.0,-2.485
477.0,3.8975
478.0,6.3075
479.0,5.3225
480.0,9.1275
481.0,13.249999999999998
482.0,24.28
483.0,39.6875
484.0,50.6175
485.0,59.842
486.0,68.73500000000001
487.0,77.53750000000001
488.0,77.3475
489.0,74.51249999999999
490.0,67.65
491.0,58.2175
492.0,53.6475
493.0,45.6325
494.0,32.675
495.0,24.525
496.0,26.292499999999997
497.0,25.5525
498.0,20.369999999999997
499.0,18.1775
500.0,13.115
501.0,12.0775
502.0,10.4025
503.0,4.412
504.0,-2.8600000000000003
505.0,-1.29
506.0,-1.7025000000000001
507.0,-9.385
508.0,-10.275
509.0,-9.47
510.0,-9.3275
511.0,-4.48
512.0,-7.745
513.0,-9.620000000000001
514.0,-8.525
515.0,-6.2475000000000005
