Wavelength,Coef
380.0,-14.102500000000001
381.0,-12.559999999999999
382.0,-12.7275
383.0,-11.37
384.0,-7.932499999999999
385.0,-4.5
386.0,-9.495000000000001
387.0,-8.57
388.0,-3.3625
389.0,-1.72
390.0,-3.1399999999999997
391.0,-2.1275
392.0,-3.2575000000000003
393.0,6.3374999999999995
394.0,18.48
395.0,21.48
396.0,17.095
397.0,14.2575
398.0,17.03
399.0,16.1975
400.0,8.88
401.0,1.67
402.0,-12.370000000000001
403.0,-13.455
404.0,-7.7975
405.0,-1.9224999999999999
406.0,2.626666666666667
407.0,3.825
408.0,4.64
409.0,4.7325
410.0,13.170000000000002
411.0,17.08
412.0,17.302500000000002
413.0,15.7925
414.0,9.0
415.0,8.275
416.0,12.42
417.0,13.875
418.0,17.247500000000002
419.0,17.1725
420.0,15.585
421.0,14.585
422.0,14.0625
423.0,14.3575
424.0,13.767500000000002
425.0,10.057500000000001
426.0,6.6075
427.0,0.8874999999999997
428.0,-0.76
429.0,0.13
430.0,-1.315
431.0,-1.6475
432.0,-2.3725
433.0,1.8599999999999999
434.0,0.9550000000000001
435.0,3.1950000000000003
436.0,2.815
437.0,4.6825
438.0,4.8575
439.0,0.04249999999999997
440.0,-0.7325
441.0,-3.3075
442.0,-5.365
443.0,-4.1775
444.0,-3.5775
445.0,-5.18
446.0,-3.5325
447.0,0.35750000000000004
448.0,0.905
449.0,3.4125
450.0,7.702500000000001
451.0,11.745
452.0,16.4225
453.0,20.717499999999998
454.0,22.267500000000002
455.0,27.665
456.0,32.1925
457.0,33.215
458.0,37.725
459.0,39.7525
460.0,40.0275
461.0,43.97
462.0,45.2025
463.0,44.225
464.0,45.0175
465.0,47.559999999999995
466.0,49.175
467.0,45.705
468.0,44.4725
469.0,42.965
470.0,45.2675
471.0,48.582499999999996
472.0,50.1025
473.0,49.9075
474.0,49.12
475.0,47.955
476.0,48.217499999999994
477.0,49.95
478.0,49.7425
479.0,43.8525
480.0,41.8325
481.0,40.1625
482.0,43.015
483.0,47.072500000000005
484.0,48.6375
485.0,49.773999999999994
486.0,52.42999999999999
487.0,59.057500000000005
488.0,57.1725
489.0,55.7975
490.0,51.99250000000001
491.0,52.615
492.0,55.16250000000001
493.0,57.6425
494.0,54.265
495.0,50.935
496.0,61.245
497.0,69.67
498.0,71.3475
499.0,74.72250000000001
500.0,75.22
501.0,76.9
502.0,79.53
503.0,80.852
504.0,77.08
505.0,81.89
506.0,86.36250000000001
507.0,82.335
508.0,84.2275
509.0,89.4975
510.0,93.4625
511.0,97.1125
512.0,95.29
513.0,93.04249999999999
514.0,94.7175
515.0,97.375
516.0,101.03
517.0,97.05199999999999
518.0,95.48750000000001
519.0,94.04750000000001
520.0,97.9325
521.0,101.69
522.0,101.95500000000001
523.0,102.0575
524.0,103.4925
525.0,104.2825
526.0,109.1125
527.0,111.89999999999999
528.0,109.7325
529.0,112.256
530.0,111.9625
531.0,110.3825
532.0,114.2125
533.0,109.1925
534.0,107.0975
535.0,106.44749999999999
536.0,107.08
537.0,107.545
538.0,108.725
539.0,106.21399999999998
540.0,108.2825
541.0,114.865
542.0,114.91
543.0,120.73500000000001
544.0,116.88
545.0,115.94
546.0,118.82
547.0,122.476
548.0,121.0325
549.0,120.26750000000001
550.0,117.9825
551.0,114.155
552.0,113.18
553.0,112.48750000000001
554.0,111.22999999999999
555.0,103.5
556.0,98.722
557.0,96.3625
558.0,97.63
559.0,98.98
560.0,101.92749999999998
561.0,100.33999999999999
562.0,101.40499999999999
563.0,105.602
564.0,106.7
565.0,109.58000000000001
566.0,112.52749999999999
567.0,114.8075
568.0,114.4175
569.0,114.3725
570.0,116.37
571.0,120.5975
572.0,120.92
573.0,120.7475
574.0,112.8775
575.0,110.27250000000001
576.0,108.76
577.0,116.548
578.0,115.22749999999999
579.0,110.9075
580.0,104.54
581.0,104.14
582.0,104.38
583.0,109.994
584.0,104.3125
585.0,101.6875
586.0,102.4325
587.0,104.05
588.0,99.74
589.0,97.104
590.0,91.44
591.0,91.1225
592.0,94.5575
593.0,91.35249999999999
594.0,89.61749999999999
595.0,93.452
596.0,104.66000000000001
597.0,104.3225
598.0,104.37
599.0,98.95500000000001
600.0,101.356
601.0,102.53999999999999
602.0,102.08000000000001
603.0,98.155
604.0,95.8725
605.0,99.08500000000001
606.0,95.388
607.0,85.88499999999999
608.0,84.05499999999999
609.0,81.58
610.0,75.2075
611.0,68.164
612.0,61.37
613.0,57.425000000000004
614.0,58.267500000000005
615.0,56.24399999999999
616.0,54.75
617.0,55.7225
618.0,54.4975
619.0,56.8075
620.0,55.134
621.0,50.052499999999995
622.0,48.4875
623.0,49.0075
624.0,47.52
625.0,51.73
626.0,50.2
627.0,49.7275
628.0,49.3775
629.0,51.248000000000005
630.0,46.7175
631.0,41.7325
632.0,35.650000000000006
633.0,33.61
634.0,33.798
635.0,36.43
636.0,33.647499999999994
637.0,33.1825
638.0,32.28
639.0,33.2875
640.0,34.4525
641.0,36.43
642.0,32.019999999999996
643.0,27.125
644.0,28.185000000000002
645.0,30.4
646.0,30.645999999999997
647.0,27.9025
648.0,26.409999999999997
649.0,31.159999999999997
650.0,33.571999999999996
651.0,30.6475
652.0,29.445
653.0,29.65
654.0,28.988
655.0,24.8875
656.0,25.165
657.0,29.9
658.0,31.933999999999997
659.0,29.2725
660.0,22.6425
661.0,15.324000000000002
662.0,13.719999999999999
663.0,6.49
664.0,-4.445
665.0,-7.974000000000001
666.0,-8.555
667.0,-7.364999999999999
668.0,-3.4539999999999997
669.0,2.52
670.0,3.495
671.0,1.2625
672.0,3.912
673.0,7.569999999999999
674.0,6.9350000000000005
675.0,4.45
676.0,4.727499999999999
677.0,4.0725
678.0,5.31
679.0,8.286
680.0,6.855
681.0,8.877500000000001
682.0,11.552000000000001
683.0,7.6875
684.0,9.7325
685.0,9.45
686.0,6.265
687.0,1.68
688.0,2.652
689.0,4.9025
690.0,4.025
691.0,-2.49
692.0,0.28600000000000003
693.0,-1.3775
694.0,2.505
695.0,-1.0699999999999998
696.0,-5.680000000000001
697.0,3.4400000000000004
698.0,8.882
699.0,7.92
700.0,6.6425
701.0,8.596
702.0,13.58
703.0,12.11
704.0,7.304
705.0,4.6675
706.0,4.72
707.0,4.542
708.0,-2.2775
709.0,-8.588
710.0,-9.305
711.0,-13.1875
712.0,-14.266
713.0,-17.7825
714.0,-16.0025
715.0,-17.014
716.0,-16.01
717.0,-16.505
718.0,-17.082
719.0,-19.41
720.0,-24.762500000000003
721.0,-30.032
722.0,-30.044999999999998
723.0,-24.39
724.0,-24.067500000000003
725.0,-18.282500000000002
726.0,-20.282000000000004
727.0,-20.0125
728.0,-15.884999999999998
729.0,-16.424
730.0,-19.8175
731.0,-22.35
732.0,-26.7275
733.0,-29.439999999999998
734.0,-17.744
735.0,-14.7075
736.0,-11.206
737.0,-13.015
738.0,-9.1125
739.0,-7.775999999999999
