Wavelength,Coef
380.0,2.7325
381.0,6.7575
382.0,6.7025
383.0,7.1475
384.0,7.0
385.0,7.592499999999999
386.0,6.95
387.0,8.113333333333333
388.0,9.2325
389.0,9.5925
390.0,8.2625
391.0,8.055
392.0,8.93
393.0,18.745
394.0,25.739999999999995
395.0,26.987499999999997
396.0,24.87
397.0,23.63
398.0,26.99
399.0,26.895
400.0,21.4675
401.0,15.087499999999999
402.0,5.29
403.0,5.390000000000001
404.0,9.2775
405.0,15.0975
406.0,15.096666666666666
407.0,16.54
408.0,15.662499999999998
409.0,17.655
410.0,24.330000000000002
411.0,25.302500000000002
412.0,25.650000000000002
413.0,22.799999999999997
414.0,21.74
415.0,24.892500000000002
416.0,33.362500000000004
417.0,36.5675
418.0,42.917500000000004
419.0,51.2
420.0,55.1875
421.0,60.27
422.0,65.905
423.0,73.545
424.0,80.925
425.0,87.39
426.0,97.01
427.0,102.5675
428.0,114.37
429.0,129.01999999999998
430.0,141.235
431.0,156.26749999999998
432.0,174.065
433.0,195.2475
434.0,211.75
435.0,232.2625
436.0,253.07
437.0,276.89750000000004
438.0,302.625
439.0,323.24
440.0,351.9725
441.0,379.09
442.0,411.875
443.0,446.9775
444.0,484.14
445.0,522.4325
446.0,566.0425
447.0,609.33
448.0,645.855
449.0,684.9325
450.0,720.1700000000001
451.0,751.875
452.0,780.0250000000001
453.0,800.9024999999999
454.0,807.06
455.0,809.8525
456.0,803.2775
457.0,786.8375
458.0,763.915
459.0,738.825
460.0,705.1425
461.0,671.39
462.0,641.18
463.0,609.0925000000001
464.0,581.0
465.0,553.8575
466.0,534.3775
467.0,509.03000000000003
468.0,486.7675
469.0,467.055
470.0,448.5675
471.0,434.0875
472.0,418.28499999999997
473.0,405.53249999999997
474.0,390.65250000000003
475.0,378.63
476.0,371.4325
477.0,364.11749999999995
478.0,357.7925
479.0,351.235
480.0,348.05249999999995
481.0,345.24
482.0,345.4875
483.0,348.0825
484.0,351.14750000000004
485.0,357.64000000000004
486.0,364.875
487.0,374.255
488.0,381.01750000000004
489.0,385.6875
490.0,392.76
491.0,398.4975
492.0,406.9925
493.0,416.7175
494.0,420.63
495.0,425.1775
496.0,443.52250000000004
497.0,459.08500000000004
498.0,469.52750000000003
499.0,483.03249999999997
500.0,492.48749999999995
501.0,502.6225
502.0,512.7225
503.0,521.5899999999999
504.0,528.56
505.0,539.9025
506.0,551.0699999999999
507.0,556.075
508.0,564.0725
509.0,573.155
510.0,584.3825
511.0,595.7325
512.0,598.12
513.0,600.5725
514.0,603.9475
515.0,607.415
516.0,612.3075
517.0,617.594
518.0,617.4675
519.0,617.9425
520.0,623.71
521.0,629.865
522.0,635.525
523.0,642.965
524.0,646.3575
525.0,646.205
526.0,653.765
527.0,656.9175
528.0,657.15
529.0,661.502
530.0,663.9749999999999
531.0,663.6899999999999
532.0,668.0374999999999
533.0,665.93
534.0,666.4525
535.0,668.2075
536.0,670.3700000000001
537.0,667.3425
538.0,665.6525
539.0,661.122
540.0,663.7325
541.0,670.5175
542.0,670.6775
543.0,671.9025
544.0,668.7225
545.0,667.6424999999999
546.0,669.25
547.0,669.6859999999999
548.0,664.5925
549.0,658.0474999999999
550.0,654.0925
551.0,650.24
552.0,647.3225
553.0,643.98
554.0,639.9175
555.0,632.6524999999999
556.0,626.8340000000001
557.0,624.3025
558.0,624.0899999999999
559.0,622.1424999999999
560.0,623.0024999999999
561.0,620.1125000000001
562.0,618.3149999999999
563.0,620.2560000000001
564.0,622.6625
565.0,623.3575
566.0,626.675
567.0,630.06
568.0,630.9549999999999
569.0,632.165
570.0,636.308
571.0,638.0
572.0,637.5425
573.0,633.23
574.0,623.4300000000001
575.0,617.59
576.0,612.83
577.0,610.5840000000001
578.0,601.4475
579.0,591.8199999999999
580.0,579.52
581.0,576.3975
582.0,570.3
583.0,568.2620000000001
584.0,560.065
585.0,557.4825
586.0,552.44
587.0,551.335
588.0,545.245
589.0,540.8939999999999
590.0,534.9925000000001
591.0,533.8775
592.0,530.8575000000001
593.0,526.865
594.0,525.18
595.0,526.836
596.0,533.1925
597.0,532.67
598.0,534.17
599.0,532.0
600.0,531.4259999999999
601.0,531.7950000000001
602.0,529.375
603.0,523.4749999999999
604.0,517.705
605.0,508.9775
606.0,498.03599999999994
607.0,481.085
608.0,471.7325
609.0,458.1625
610.0,445.3225
611.0,428.212
612.0,415.9275
613.0,404.13
614.0,398.385
615.0,388.958
616.0,380.6225
617.0,374.5675
618.0,364.77
619.0,359.60249999999996
620.0,350.438
621.0,339.59
622.0,333.8425
623.0,329.3775
624.0,322.54
625.0,320.284
626.0,316.9425
627.0,313.1475
628.0,308.07
629.0,304.15
630.0,297.4525
631.0,288.1225
632.0,277.815
633.0,271.79499999999996
634.0,265.968
635.0,264.5725
636.0,257.795
637.0,248.76749999999998
638.0,241.68400000000003
639.0,239.92749999999998
640.0,236.44750000000002
641.0,233.01749999999998
642.0,222.08200000000002
643.0,211.1025
644.0,210.50000000000003
645.0,209.01250000000002
646.0,205.18200000000002
647.0,200.39499999999998
648.0,194.38
649.0,194.335
650.0,190.182
651.0,184.56750000000002
652.0,180.4225
653.0,177.8075
654.0,169.118
655.0,159.6375
656.0,158.9675
657.0,155.6875
658.0,153.036
659.0,143.9425
660.0,133.655
661.0,123.93400000000001
662.0,119.67
663.0,107.3575
664.0,99.315
665.0,92.622
666.0,90.86749999999999
667.0,86.335
668.0,86.74399999999999
669.0,87.2475
670.0,84.7
671.0,81.3375
672.0,82.362
673.0,82.535
674.0,83.0
675.0,75.84
676.0,75.04
677.0,73.705
678.0,71.3275
679.0,68.316
680.0,65.8125
681.0,65.7875
682.0,68.862
683.0,63.275000000000006
684.0,64.335
685.0,63.446000000000005
686.0,63.625
687.0,57.33
688.0,51.94
689.0,50.2375
690.0,48.919999999999995
691.0,43.71999999999999
692.0,42.55800000000001
693.0,37.847500000000004
694.0,38.8725
695.0,37.29
696.0,32.925
697.0,38.2325
698.0,39.38
699.0,40.5125
700.0,40.01
701.0,41.146
702.0,42.9175
703.0,39.72
704.0,35.519999999999996
705.0,33.3375
706.0,28.482499999999998
707.0,24.156000000000002
708.0,15.6925
709.0,11.181999999999999
710.0,11.2225
711.0,10.200000000000001
712.0,8.384
713.0,7.197500000000001
714.0,9.3
715.0,11.772
716.0,11.6575
717.0,10.865
718.0,9.456
719.0,5.2924999999999995
720.0,1.1875
721.0,-2.492
722.0,-2.9074999999999998
723.0,-0.26399999999999996
724.0,0.765
725.0,5.640000000000001
726.0,4.0760000000000005
727.0,0.9874999999999999
728.0,5.3175
729.0,4.651999999999999
730.0,2.435
731.0,-1.6640000000000001
732.0,-7.859999999999999
733.0,-8.2275
734.0,4.508
735.0,6.282500000000001
